"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia EL COLLAO (000)",77567,3205,8115,8828,7936,13337,10391,18208,7547
"Sin nivel (001)",11532,3205,565,37,28,119,277,3326,3975
"Educación inicial (002)",1707,,1654,18,5,12,18,,
"Primaria (003)",29133,,5896,4761,588,2132,3130,9439,3187
"Secundaria (004)",26849,,,4012,6279,7400,4899,3971,288
"Superior no univ. incompleto (005)",2679,,,,678,1275,433,282,11
"Superior no univ. completo (006)",2247,,,,,1058,751,413,25
"Superior univ. incompleto (007)",1540,,,,358,734,232,203,13
"Superior univ. completo (008)",1880,,,,,607,651,574,48
"Hombres (010)",39387,1660,4149,4597,4183,6745,5108,9202,3743
"Sin nivel (011)",3690,1660,308,26,13,45,57,528,1053
"Educación inicial (012)",918,,890,9,5,4,10,,
"Primaria (013)",13999,,2951,2404,217,601,876,4582,2368
"Secundaria (014)",15285,,,2158,3340,3860,2786,2906,235
"Superior no univ. incompleto (015)",1711,,,,394,786,293,228,10
"Superior no univ. completo (016)",1431,,,,,602,479,328,22
"Superior univ. incompleto (017)",1026,,,,214,474,164,164,10
"Superior univ. completo (018)",1327,,,,,373,443,466,45
"Mujeres (020)",38180,1545,3966,4231,3753,6592,5283,9006,3804
"Sin nivel (021)",7842,1545,257,11,15,74,220,2798,2922
"Educación inicial (022)",789,,764,9,,8,8,,
"Primaria (023)",15134,,2945,2357,371,1531,2254,4857,819
"Secundaria (024)",11564,,,1854,2939,3540,2113,1065,53
"Superior no univ. incompleto (025)",968,,,,284,489,140,54,1
"Superior no univ. completo (026)",816,,,,,456,272,85,3
"Superior univ. incompleto (027)",514,,,,144,260,68,39,3
"Superior univ. completo (028)",553,,,,,234,208,108,3
,,,,,,,,,
"URBANA (030)",24305,934,2509,2832,2970,4744,3872,5311,1133
"Sin nivel (031)",2062,934,133,12,3,29,67,483,401
"Educación inicial (032)",595,,567,12,3,6,7,,
"Primaria (033)",7198,,1809,1395,103,402,780,2179,530
"Secundaria (034)",8903,,,1413,2160,1985,1605,1601,139
"Superior no univ. incompleto (035)",1624,,,,434,743,261,179,7
