"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTA (000)",16657,13191,2050,675,741
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,2,1,30
"Profes., científicos e intelectuales (002)",640,228,134,199,79
"Técnicos de nivel medio y trab. asimilados (003)",291,139,38,38,76
"Jefes y empleados de oficina (004)",256,40,27,33,156
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1599,1475,63,36,25
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6924,6044,866,12,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",724,561,104,30,29
"Obreros construc.,conf.,papel, fab., instr. (008)",1403,933,246,148,76
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4269,3366,531,164,208
"Otra (010)",53,,,,53
"Ocupación no especificada (011)",465,405,39,14,7
"Hombres (012)",12217,9463,1667,526,561
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",27,,2,1,24
"Profes., científicos e intelectuales (014)",327,102,73,108,44
"Técnicos de nivel medio y trab. asimilados (015)",176,85,24,28,39
"Jefes y empleados de oficina (016)",168,27,21,25,95
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",467,403,22,24,18
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6249,5462,779,6,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",612,472,87,25,28
"Obreros construc.,conf.,papel, fab., instr. (020)",1360,903,238,144,75
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2657,1920,402,154,181
"Otra (022)",51,,,,51
"Ocupación no especificada (023)",123,89,19,11,4
"Mujeres (024)",4440,3728,383,149,180
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,,,6
"Profes., científicos e intelectuales (026)",313,126,61,91,35
"Técnicos de nivel medio y trab. asimilados (027)",115,54,14,10,37
"Jefes y empleados de oficina (028)",88,13,6,8,61
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1132,1072,41,12,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",675,582,87,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",112,89,17,5,1
"Obreros construc.,conf.,papel, fab., instr. (032)",43,30,8,4,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1612,1446,129,10,27
