"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ACOBAMBA (000)",14921,53,193,538,1152,2734,6229,4022
"De 12 a 14 años (001)",22,,,,,,,22
"De 15 a 19 años (002)",508,,,,,,291,217
"De 20 a 24 años (003)",1935,,,,,2,1143,790
"De 25 a 29 años (004)",2015,,,,,76,1315,624
"De 30 a 34 años (005)",1780,,,,,251,1136,393
"De 35 a 39 años (006)",1751,,,,7,440,1013,291
"De 40 a 44 años (007)",1433,,,,33,469,731,200
"De 45 a 49 años (008)",1318,,,3,89,533,488,205
"De 50 y más años (009)",4159,53,193,535,1023,963,112,1280
"Sin nivel (010)",5638,45,158,431,755,1241,1497,1511
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",19,,,,,,12,7
"De 20 a 24 años (013)",131,,,,,,74,57
"De 25 a 29 años (014)",238,,,,,8,160,70
"De 30 a 34 años (015)",350,,,,,54,231,65
"De 35 a 39 años (016)",541,,,,3,123,324,91
"De 40 a 44 años (017)",580,,,,7,164,327,82
"De 45 a 49 años (018)",692,,,1,28,260,293,110
"De 50 y más años (019)",3086,45,158,430,717,632,76,1028
"Educacion Inicial (020)",37,,,,,5,18,14
"De 20 a 24 años (023)",4,,,,,,2,2
"De 25 a 29 años (024)",7,,,,,1,3,3
"De 30 a 34 años (025)",19,,,,,4,7,8
"De 35 a 39 años (026)",7,,,,,,6,1
"Primaria (030)",6146,5,29,89,302,1130,3208,1383
"De 12 a 14 años (031)",14,,,,,,,14
"De 15 a 19 años (032)",268,,,,,,155,113
"De 20 a 24 años (033)",970,,,,,,625,345
"De 25 a 29 años (034)",1007,,,,,48,722,237
"De 30 a 34 años (035)",961,,,,,130,637,194
"De 35 a 39 años (036)",903,,,,2,232,544,125
"De 40 a 44 años (037)",650,,,,15,222,328,85
"De 45 a 49 años (038)",484,,,1,32,219,164,68
"De 50 y más años (039)",889,5,29,88,253,279,33,202
"Secundaria (040)",2299,2,4,12,67,250,1215,749
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",219,,,,,,124,95
"De 20 a 24 años (043)",673,,,,,2,398,273
"De 25 a 29 años (044)",559,,,,,15,349,195
"De 30 a 34 años (045)",298,,,,,43,184,71
"De 35 a 39 años (046)",190,,,,1,58,92,39
"De 40 a 44 años (047)",133,,,,6,59,47,21
"De 45 a 49 años (048)",93,,,,23,35,19,16
"De 50 y más años (049)",127,2,4,12,37,38,2,32
"Sup. no Univ. incompleta (050)",163,,,,5,16,67,75
"De 15 a 19 años (052)",2,,,,,,,2
