"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PASCO (000)",49019,1578,42,9275,20686,2521,3780,2748,8389
"Agric., ganadería, caza y silvicultura (001)",11901,991,16,5243,5048,189,123,128,163
"Pesca (002)",16,,,3,8,,,1,4
"Explotación de minas y canteras (003)",7910,18,3,419,4230,554,939,494,1253
"Industrias manufactureras (004)",1773,42,3,241,931,137,133,118,168
"Suministro de electricidad, gas y agua (005)",77,,,8,34,4,15,2,14
"Construcción (006)",3631,36,3,614,2049,206,231,198,294
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6082,147,5,1009,2650,407,583,484,797
"Venta, mant.y rep. veh.autom.y motoc. (008)",825,2,,44,307,98,185,66,123
"Comercio al por mayor (009)",237,1,,30,106,11,18,27,44
"Comercio al por menor (010)",5020,144,5,935,2237,298,380,391,630
"Hoteles y restaurantes (011)",1800,83,,354,913,103,107,119,121
"Trans., almac. y comunicaciones (012)",3226,28,2,331,1851,245,194,272,303
"Intermediación financiera (013)",75,,,,11,3,7,18,36
"Activid.inmobil., empres. y de alquiler (014)",2333,4,2,71,640,185,281,262,888
"Admin.pub. y defensa; p. segur.soc.afil (015)",1623,19,,132,412,108,210,173,569
"Enseñanza (016)",3624,1,1,5,80,115,509,143,2770
"Servicios sociales y de salud (017)",953,2,,19,69,40,199,76,548
"Otras activ. serv.comun.soc y personales (018)",1118,82,1,228,416,50,92,98,151
"Hogares privados con servicio doméstico (019)",721,35,2,187,395,33,20,25,24
"Organiz. y organos extraterritoriales (020)",1,,,1,,,,,
"Actividad economica no especificada (021)",2155,90,4,410,949,142,137,137,286
"Hombres (022)",35763,780,30,6605,16690,1916,2575,2017,5150
"Agric., ganadería, caza y silvicultura (023)",9735,619,11,4244,4372,149,97,109,134
"Pesca (024)",12,,,2,7,,,1,2
"Explotación de minas y canteras (025)",7671,17,3,411,4179,544,904,472,1141
"Industrias manufactureras (026)",1433,26,3,192,774,109,104,93,132
"Suministro de electricidad, gas y agua (027)",72,,,8,34,3,14,2,11
"Construcción (028)",3498,33,2,581,1995,200,225,191,271
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2996,20,2,353,1351,229,332,259,450
"Venta, mant.y rep. veh.autom.y motoc. (030)",787,2,,42,291,92,179,64,117
"Comercio al por mayor (031)",126,,,9,56,6,8,17,30
"Comercio al por menor (032)",2083,18,2,302,1004,131,145,178,303
"Hoteles y restaurantes (033)",629,4,,75,353,49,41,55,52
"Trans., almac. y comunicaciones (034)",2975,26,2,320,1768,220,153,234,252
"Intermediación financiera (035)",38,,,,7,2,3,10,16
"Activid.inmobil., empres. y de alquiler (036)",1749,1,1,59,553,149,203,198,585
"Admin.pub. y defensa; p. segur.soc.afil (037)",1040,9,,94,320,64,109,115,329
"Enseñanza (038)",1709,,1,3,52,61,210,82,1300
"Servicios sociales y de salud (039)",340,,,2,22,15,59,29,213
"Otras activ. serv.comun.soc y personales (040)",472,4,1,46,202,27,36,60,96
"Hogares privados con servicio doméstico (041)",122,5,1,19,73,4,4,10,6
