"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LEONCIO PRADO (000)",34842,18722,16120
"Casa independiente (001)",25293,15995,9298
"Departamento en edificio (002)",684,684,
"Vivienda en quinta (003)",1354,1354,
"Vivienda en casa de vecindad (004)",428,428,
"Choza o cabaña (005)",6799,,6799
"Vivienda improvisada (006)",221,221,
"Local no dest.para hab. humana (007)",36,35,1
"Otro tipo (008)",27,5,22
