"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia URUBAMBA (000)",19685,291,6239,7076,4767,1312
"Agric., ganadería, caza y silvicultura (001)",6800,153,1535,2195,2078,839
"Pesca (002)",7,,1,4,1,1
"Explotación de minas y canteras (003)",21,,7,8,4,2
"Industrias manufactureras (004)",962,20,368,335,189,50
"Suministro de electricidad, gas y agua (005)",44,1,15,12,14,2
"Construcción (006)",1692,6,577,698,363,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2659,44,813,1013,639,150
"Venta, mant.y rep. veh.autom.y motoc. (008)",133,,70,47,16,
"Comercio al por mayor (009)",82,,27,29,23,3
"Comercio al por menor (010)",2444,44,716,937,600,147
"Hoteles y restaurantes (011)",2024,22,965,640,331,66
"Trans., almac. y comunicaciones (012)",1508,3,621,610,257,17
"Intermediación financiera (013)",23,,10,7,5,1
"Activid.inmobil., empres. y alquileres (014)",382,,141,155,78,8
"Admin.pub. y defensa; p. segur.soc.afil (015)",588,,175,244,155,14
"Enseñanza (016)",1065,,208,557,286,14
"Servicios sociales y de salud (017)",199,,77,86,34,2
"Otras activ. serv.comun.soc y personales (018)",422,3,178,156,70,15
"Hogares privados con servicio doméstico (019)",383,33,239,61,42,8
"Organiz. y organos extraterritoriales (020)",3,,1,,1,1
"Actividad economica no especificada (021)",903,6,308,295,220,74
"Hombres (022)",13371,195,4027,4787,3406,956
"Agric., ganadería, caza y silvicultura (023)",5855,125,1321,1897,1794,718
"Pesca (024)",6,,1,3,1,1
"Explotación de minas y canteras (025)",19,,6,8,3,2
"Industrias manufactureras (026)",579,11,205,200,128,35
"Suministro de electricidad, gas y agua (027)",35,,12,10,11,2
"Construcción (028)",1663,6,563,692,354,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",764,18,258,243,198,47
"Venta, mant.y rep. veh.autom.y motoc. (030)",123,,64,44,15,
"Comercio al por mayor (031)",41,,14,15,11,1
"Comercio al por menor (032)",600,18,180,184,172,46
"Hoteles y restaurantes (033)",962,9,519,317,105,12
"Trans., almac. y comunicaciones (034)",1342,3,520,558,245,16
"Intermediación financiera (035)",11,,3,2,5,1
"Activid.inmobil., empres. y alquileres (036)",292,,87,129,68,8
"Admin.pub. y defensa; p. segur.soc.afil (037)",468,,118,194,142,14
"Enseñanza (038)",480,,70,236,165,9
"Servicios sociales y de salud (039)",77,,22,37,16,2
