"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANDIA (000)",20751,20230,6543,2580,2455,2104,3100,1959,1007,482,521,53905
"De 12 a 14 años (001)",2250,2232,2221,8,3,,,,,,18,14
"De 15 a 19 años (002)",2907,2865,2484,340,36,5,,,,,42,427
"De 20 a 24 años (003)",2459,2272,900,812,409,115,34,2,,,187,2130
"De 25 a 29 años (004)",2401,2260,330,658,640,390,221,18,3,,141,4188
"De 30 a 34 años (005)",2016,1959,170,270,513,446,455,93,11,1,57,5309
"De 35 a 39 años (006)",1999,1975,98,157,350,393,653,260,55,9,24,7129
"De 40 a 44 años (007)",1643,1631,81,86,166,229,553,347,133,36,12,7279
"De 45 a 49 años (008)",1306,1298,44,63,99,166,371,328,176,51,8,6564
"De 50 y más años (009)",3770,3738,215,186,239,360,813,911,629,385,32,20865
"Sin nivel (010)",3421,3397,223,174,243,357,807,779,496,318,24,18063
"De 12 a 14 años (011)",9,9,8,,1,,,,,,,2
"De 15 a 19 años (012)",23,23,17,3,2,1,,,,,,10
"De 20 a 24 años (013)",25,22,7,7,5,1,2,,,,3,30
"De 25 a 29 años (014)",51,51,5,8,9,16,9,3,1,,,139
"De 30 a 34 años (015)",110,110,9,8,23,19,34,16,1,,,374
"De 35 a 39 años (016)",177,175,11,11,17,25,71,31,6,3,2,720
"De 40 a 44 años (017)",292,289,15,12,24,24,95,70,36,13,3,1439
"De 45 a 49 años (018)",322,322,13,13,16,37,74,86,53,30,,1813
"De 50 y más años (019)",2412,2396,138,112,146,234,522,573,399,272,16,13536
"Educacion Inicial (020)",16,16,4,2,4,2,4,,,,,34
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"De 15 a 19 años (022)",2,2,2,,,,,,,,,
