"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMANGA (000)",217703,157988,59715
"Casa independiente (001)",197433,144157,53276
"Departamento en edificio (002)",2347,2347,
"Vivienda en quinta (003)",6808,6808,
"Vivienda en casa de vecindad (004)",4471,4471,
"Choza o cabaña (005)",6404,,6404
"Vivienda improvisada (006)",94,94,
"Local no dest.para hab. humana (007)",136,102,34
"Otro tipo (008)",10,9,1
