"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANTA (000)",4949,4773,1203,706,698,588,752,428,226,172,176,13786
"De 12 a 14 años (001)",430,427,427,,,,,,,,3,
"De 15 a 19 años (002)",540,529,442,75,11,,1,,,,11,101
"De 20 a 24 años (003)",521,472,147,235,69,18,2,1,,,49,442
"De 25 a 29 años (004)",459,429,35,152,155,70,17,,,,30,746
"De 30 a 34 años (005)",438,422,30,75,142,101,64,9,1,,16,1003
"De 35 a 39 años (006)",413,399,15,37,93,101,120,27,5,1,14,1265
"De 40 a 44 años (007)",356,343,16,20,57,74,106,56,8,6,13,1322
"De 45 a 49 años (008)",318,311,13,25,41,61,90,47,26,8,7,1294
"De 50 y más años (009)",1474,1441,78,87,130,163,352,288,186,157,33,7613
"Conviviente (010)",1482,1456,82,373,345,240,244,101,39,32,26,4175
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",80,72,21,42,8,,1,,,,8,62
"De 20 a 24 años (013)",268,264,28,161,54,18,2,1,,,4,338
"De 25 a 29 años (014)",284,279,8,98,108,51,14,,,,5,527
"De 30 a 34 años (015)",237,236,6,31,90,58,43,7,1,,1,623
"De 35 a 39 años (016)",192,192,4,18,39,52,60,16,3,,,637
"De 40 a 44 años (017)",135,131,3,6,20,26,45,22,3,6,4,558
"De 45 a 49 años (018)",107,107,6,7,11,24,34,14,7,4,,439
"De 50 y más años (019)",177,175,6,10,15,11,45,41,25,22,2,991
"Separado(a) (020)",224,218,3,52,52,27,37,24,15,8,6,768
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",9,8,,7,1,,,,,,1,9
"De 20 a 24 años (023)",23,22,,17,5,,,,,,1,27
"De 25 a 29 años (024)",21,21,,11,8,1,1,,,,,35
