"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SECHURA (000)",61873,58051,3822
"Casa independiente (001)",58775,56216,2559
"Departamento en edificio (002)",22,22,
"Vivienda en quinta (003)",10,10,
"Vivienda en casa de vecindad (004)",8,8,
"Choza o cabaña (005)",1262,,1262
"Vivienda improvisada (006)",1768,1768,
"Local no dest.para hab. humana (007)",26,25,1
"Otro tipo (008)",2,2,
