"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHOTA (000)",43359,40209,122,8326,7757,5908,7962,5399,3251,1484,3150,154817
"De 12 a 14 años (001)",65,22,1,18,3,,,,,,43,24
"De 15 a 19 años (002)",1227,989,10,848,109,16,6,,,,238,1138
"De 20 a 24 años (003)",4415,3571,20,2231,1041,227,44,8,,,844,5231
"De 25 a 29 años (004)",5341,4620,6,1775,1591,812,402,29,5,,721,9305
"De 30 a 34 años (005)",5122,4722,7,1059,1514,1066,877,172,24,3,400,12380
"De 35 a 39 años (006)",5282,5005,10,690,1193,1197,1324,483,91,17,277,16464
"De 40 a 44 años (007)",4214,4039,7,435,684,765,1186,626,266,70,175,16282
"De 45 a 49 años (008)",3734,3594,3,324,487,603,983,685,357,152,140,16523
"De 50 y más años (009)",13959,13647,58,946,1135,1222,3140,3396,2508,1242,312,77470
"Conviviente (010)",14654,14145,41,3675,3169,2150,2474,1503,776,357,509,47367
"De 12 a 14 años (011)",49,10,1,8,1,,,,,,39,10
"De 15 a 19 años (012)",877,691,4,591,82,11,3,,,,186,800
"De 20 a 24 años (013)",2316,2160,13,1319,654,147,24,3,,,156,3188
"De 25 a 29 años (014)",2401,2345,4,800,829,448,243,18,3,,56,4959
"De 30 a 34 años (015)",2090,2069,2,376,670,486,423,97,12,3,21,5735
"De 35 a 39 años (016)",1883,1872,5,211,404,443,540,220,41,8,11,6562
"De 40 a 44 años (017)",1315,1307,4,102,187,239,400,247,100,28,8,5676
"De 45 a 49 años (018)",1037,1031,,72,130,151,251,241,133,53,6,5158
"De 50 y más años (019)",2686,2660,8,196,212,225,590,677,487,265,26,15279
"Separado(a) (020)",2633,2579,7,986,554,326,406,186,84,30,54,7063
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
