"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAJABAMBA (000)",20739,2195,3066,11586,146,3224,522
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",19,19,,,,,
"Profes., científicos e intelectuales (002)",1314,1147,,160,4,3,
"Técnicos de nivel medio y trab. asimilados (003)",334,224,,95,9,6,
"Jefes y empleados de oficina (004)",206,204,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1284,227,17,878,23,139,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",8825,1,1,8752,71,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1007,,343,612,17,35,
"Obreros construc.,conf., papel, fab., instr. (008)",751,87,301,313,17,33,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",6391,207,2360,496,1,2805,522
"Otra (010)",36,36,,,,,
"Ocupación no especificada (011)",572,43,44,279,4,202,
"Hombres (012)",16641,1175,2778,10011,123,2526,28
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",17,17,,,,,
"Profes., científicos e intelectuales (014)",646,567,,74,3,2,
"Técnicos de nivel medio y trab. asimilados (015)",219,142,,67,6,4,
"Jefes y empleados de oficina (016)",93,92,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",547,111,9,387,10,30,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",8475,1,1,8403,70,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",815,,294,487,14,20,
"Obreros construc.,conf., papel, fab., instr. (020)",732,86,297,301,16,32,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",4924,103,2153,214,1,2425,28
"Otra (022)",36,36,,,,,
"Ocupación no especificada (023)",137,20,24,77,3,13,
"Mujeres (024)",4098,1020,288,1575,23,698,494
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,2,,,,,
"Profes., científicos e intelectuales (026)",668,580,,86,1,1,
"Técnicos de nivel medio y trab. asimilados (027)",115,82,,28,3,2,
"Jefes y empleados de oficina (028)",113,112,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",737,116,8,491,13,109,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",350,,,349,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",192,,49,125,3,15,
"Obreros construc.,conf., papel, fab., instr. (032)",19,1,4,12,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1467,104,207,282,,380,494
"Ocupación no especificada (035)",435,23,20,202,1,189,
,,,,,,,
"URBANA (036)",5792,1868,713,2559,67,321,264
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",15,15,,,,,
"Profes., científicos e intelectuales (038)",1093,974,,112,4,3,
"Técnicos de nivel medio y trab. asimilados (039)",295,202,,81,7,5,
"Jefes y empleados de oficina (040)",180,178,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1006,195,4,682,20,105,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",666,1,1,656,8,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",523,,135,365,11,12,
"Obreros construc.,conf., papel, fab., instr. (044)",465,77,149,217,13,9,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1349,158,397,367,1,162,264
"Otra (046)",32,32,,,,,
"Ocupación no especificada (047)",168,36,27,78,3,24,
"Hombres (048)",3564,1001,640,1707,50,154,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,13,,,,,
"Profes., científicos e intelectuales (050)",535,477,,53,3,2,
"Técnicos de nivel medio y trab. asimilados (051)",193,129,,57,4,3,
"Jefes y empleados de oficina (052)",76,75,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",427,101,2,291,10,23,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",608,1,1,598,8,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",451,,123,309,10,9,
"Obreros construc.,conf., papel, fab., instr. (056)",449,76,146,207,12,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",708,79,350,161,1,105,12
"Otra (058)",32,32,,,,,
"Ocupación no especificada (059)",72,18,18,30,2,4,
"Mujeres (060)",2228,867,73,852,17,167,252
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",558,497,,59,1,1,
"Técnicos de nivel medio y trab. asimilados (063)",102,73,,24,3,2,
"Jefes y empleados de oficina (064)",104,103,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",579,94,2,391,10,82,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",58,,,58,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",72,,12,56,1,3,
"Obreros construc.,conf., papel, fab., instr. (068)",16,1,3,10,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",641,79,47,206,,57,252
"Ocupación no especificada (071)",96,18,9,48,1,20,
,,,,,,,
"RURAL (072)",14947,327,2353,9027,79,2903,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",221,173,,48,,,
"Técnicos de nivel medio y trab. asimilados (075)",39,22,,14,2,1,
"Jefes y empleados de oficina (076)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",278,32,13,196,3,34,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",8159,,,8096,63,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",484,,208,247,6,23,
"Obreros construc.,conf., papel, fab., instr. (080)",286,10,152,96,4,24,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",5042,49,1963,129,,2643,258
"Otra (082)",4,4,,,,,
"Ocupación no especificada (083)",404,7,17,201,1,178,
"Hombres (084)",13077,174,2138,8304,73,2372,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",4,4,,,,,
"Profes., científicos e intelectuales (086)",111,90,,21,,,
"Técnicos de nivel medio y trab. asimilados (087)",26,13,,10,2,1,
"Jefes y empleados de oficina (088)",17,17,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",120,10,7,96,,7,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",7867,,,7805,62,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",364,,171,178,4,11,
"Obreros construc.,conf., papel, fab., instr. (092)",283,10,151,94,4,24,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",4216,24,1803,53,,2320,16
"Otra (094)",4,4,,,,,
"Ocupación no especificada (095)",65,2,6,47,1,9,
"Mujeres (096)",1870,153,215,723,6,531,242
"Profes., científicos e intelectuales (098)",110,83,,27,,,
"Técnicos de nivel medio y trab. asimilados (099)",13,9,,4,,,
"Jefes y empleados de oficina (100)",9,9,,,,,
