"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ILO (000)",61077,60848,229
"Casa independiente (001)",55449,55249,200
"Departamento en edificio (002)",4223,4223,
"Vivienda en quinta (003)",142,142,
"Vivienda en casa de vecindad (004)",121,121,
"Choza o cabaña (005)",28,,28
"Vivienda improvisada (006)",1055,1055,
"Local no dest.para hab. humana (007)",51,50,1
"Otro tipo (008)",8,8,
