"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CANAS (000)",13343,44191,36757,,721,83.2,1.6
"De 12 a 14 años (001)",1543,9,9,,2,100,22.2
"De 15 a 19 años (002)",1720,211,205,61,97.2,28.9,
"De 20 a 24 años (003)",1226,1270,1199,185,94.4,14.6,
"De 25 a 29 años (004)",1117,2438,2288,163,93.8,6.7,
"De 30 a 34 años (005)",1070,3417,3124,134,91.4,3.9,
"De 35 a 39 años (006)",1176,4976,4486,110,90.2,2.2,
"De 40 a 44 años (007)",1009,5521,4797,52,86.9,0.9,
"De 45 a 49 años (008)",885,5133,4417,14,86.1,0.3,
"De 50 y más años (009)",3597,21216,16232,,76.5,,
"Sin nivel (010)",3538,20147,15421,57,76.5,0.3,
"De 12 a 14 años (011)",8,1,1,,100,,
"De 15 a 19 años (012)",15,10,10,,100,,
"De 20 a 24 años (013)",34,58,55,5,94.8,8.6,
"De 25 a 29 años (014)",56,145,133,7,91.7,4.8,
"De 30 a 34 años (015)",104,406,359,10,88.4,2.5,
"De 35 a 39 años (016)",185,820,732,15,89.3,1.8,
"De 40 a 44 años (017)",217,1285,1088,13,84.7,1,
"De 45 a 49 años (018)",259,1592,1333,7,83.7,0.4,
"De 50 y más años (019)",2660,15830,11710,,74,,
"Educacion Inicial (020)",16,52,44,5,84.6,9.6,
"De 15 a 19 años (022)",2,1,1,,100,,
"De 20 a 24 años (023)",4,7,7,1,100,14.3,
"De 25 a 29 años (024)",3,13,13,2,100,15.4,
"De 30 a 34 años (025)",2,8,5,1,62.5,12.5,
"De 35 a 39 años (026)",5,23,18,1,78.3,4.3,
"Primaria (030)",5755,20062,17615,418,87.8,2.1,
"De 12 a 14 años (031)",888,5,5,1,100,20,
"De 15 a 19 años (032)",351,87,85,16,97.7,18.4,
"De 20 a 24 años (033)",417,630,592,83,94,13.2,
"De 25 a 29 años (034)",616,1604,1497,110,93.3,6.9,
"De 30 a 34 años (035)",649,2266,2072,87,91.4,3.8,
"De 35 a 39 años (036)",762,3434,3086,78,89.9,2.3,
"De 40 a 44 años (037)",677,3801,3305,36,87,0.9,
"De 45 a 49 años (038)",538,3172,2747,7,86.6,0.2,
"De 50 y más años (039)",857,5063,4226,,83.5,,
"Secundaria (040)",3467,3354,3138,205,93.6,6.1,
