"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARAÑON (000)",24541,1534,3759,3884,2734,3609,3148,4590,1283
"Sin nivel (001)",5295,1534,502,47,93,320,506,1521,772
"Educación inicial (002)",883,,846,17,2,8,10,,
"Primaria (003)",12653,,2411,3231,1051,1554,1606,2346,454
"Secundaria (004)",4611,,,589,1535,1372,613,462,40
"Superior no univ. incompleto (005)",170,,,,24,73,39,33,1
"Superior no univ. completo (006)",402,,,,,113,177,105,7
"Superior univ. incompleto (007)",242,,,,29,112,68,30,3
"Superior univ. completo (008)",285,,,,,57,129,93,6
"Hombres (010)",12610,760,1958,2039,1475,1788,1566,2400,624
"Sin nivel (011)",1782,760,240,20,26,74,98,350,214
"Educación inicial (012)",470,,451,11,2,3,3,,
"Primaria (013)",6883,,1267,1693,536,679,812,1530,366
"Secundaria (014)",2814,,,315,884,837,416,330,32
"Superior no univ. incompleto (015)",100,,,,9,33,28,29,1
"Superior no univ. completo (016)",224,,,,,57,95,69,3
"Superior univ. incompleto (017)",153,,,,18,72,36,24,3
"Superior univ. completo (018)",184,,,,,33,78,68,5
"Mujeres (020)",11931,774,1801,1845,1259,1821,1582,2190,659
"Sin nivel (021)",3513,774,262,27,67,246,408,1171,558
"Educación inicial (022)",413,,395,6,,5,7,,
"Primaria (023)",5770,,1144,1538,515,875,794,816,88
"Secundaria (024)",1797,,,274,651,535,197,132,8
"Superior no univ. incompleto (025)",70,,,,15,40,11,4,
"Superior no univ. completo (026)",178,,,,,56,82,36,4
"Superior univ. incompleto (027)",89,,,,11,40,32,6,
"Superior univ. completo (028)",101,,,,,24,51,25,1
,,,,,,,,,
"URBANA (030)",3779,172,499,595,458,551,595,703,206
"Sin nivel (031)",441,172,20,,5,20,26,104,94
"Educación inicial (032)",128,,127,,,,1,,
"Primaria (033)",1507,,352,420,74,118,163,291,89
"Secundaria (034)",1068,,,175,358,238,146,138,13
"Superior no univ. incompleto (035)",65,,,,4,23,22,16,
"Superior no univ. completo (036)",218,,,,,43,103,68,4
"Superior univ. incompleto (037)",152,,,,17,70,45,18,2
"Superior univ. completo (038)",200,,,,,39,89,68,4
"Hombres (040)",1971,93,276,306,254,259,307,379,97
"Sin nivel (041)",145,93,9,,2,4,3,16,18
"Educación inicial (042)",68,,68,,,,,,
"Primaria (043)",798,,199,228,38,38,69,166,60
"Secundaria (044)",584,,,78,205,121,90,79,11
"Superior no univ. incompleto (045)",35,,,,,8,14,13,
"Superior no univ. completo (046)",113,,,,,20,51,40,2
"Superior univ. incompleto (047)",98,,,,9,46,27,14,2
"Superior univ. completo (048)",130,,,,,22,53,51,4
"Mujeres (050)",1808,79,223,289,204,292,288,324,109
"Sin nivel (051)",296,79,11,,3,16,23,88,76
"Educación inicial (052)",60,,59,,,,1,,
"Primaria (053)",709,,153,192,36,80,94,125,29
"Secundaria (054)",484,,,97,153,117,56,59,2
"Superior no univ. incompleto (055)",30,,,,4,15,8,3,
"Superior no univ. completo (056)",105,,,,,23,52,28,2
"Superior univ. incompleto (057)",54,,,,8,24,18,4,
"Superior univ. completo (058)",70,,,,,17,36,17,
,,,,,,,,,
"RURAL (060)",20762,1362,3260,3289,2276,3058,2553,3887,1077
"Sin nivel (061)",4854,1362,482,47,88,300,480,1417,678
"Educación inicial (062)",755,,719,17,2,8,9,,
"Primaria (063)",11146,,2059,2811,977,1436,1443,2055,365
"Secundaria (064)",3543,,,414,1177,1134,467,324,27
"Superior no univ. incompleto (065)",105,,,,20,50,17,17,1
"Superior no univ. completo (066)",184,,,,,70,74,37,3
"Superior univ. incompleto (067)",90,,,,12,42,23,12,1
"Superior univ. completo (068)",85,,,,,18,40,25,2
"Hombres (070)",10639,667,1682,1733,1221,1529,1259,2021,527
"Sin nivel (071)",1637,667,231,20,24,70,95,334,196
"Educación inicial (072)",402,,383,11,2,3,3,,
"Primaria (073)",6085,,1068,1465,498,641,743,1364,306
"Secundaria (074)",2230,,,237,679,716,326,251,21
"Superior no univ. incompleto (075)",65,,,,9,25,14,16,1
"Superior no univ. completo (076)",111,,,,,37,44,29,1
"Superior univ. incompleto (077)",55,,,,9,26,9,10,1
"Superior univ. completo (078)",54,,,,,11,25,17,1
"Mujeres (080)",10123,695,1578,1556,1055,1529,1294,1866,550
"Sin nivel (081)",3217,695,251,27,64,230,385,1083,482
"Educación inicial (082)",353,,336,6,,5,6,,
"Primaria (083)",5061,,991,1346,479,795,700,691,59
"Secundaria (084)",1313,,,177,498,418,141,73,6
"Superior no univ. incompleto (085)",40,,,,11,25,3,1,
"Superior no univ. completo (086)",73,,,,,33,30,8,2
"Superior univ. incompleto (087)",35,,,,3,16,14,2,
"Superior univ. completo (088)",31,,,,,7,15,8,1
