"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PURUS (000)",851,826,10,188,160,113,203,107,37,8,25,2825
"De 12 a 14 años (001)",8,6,,6,,,,,,,2,6
"De 15 a 19 años (002)",101,98,5,67,25,1,,,,,3,120
"De 20 a 24 años (003)",117,112,1,40,50,16,5,,,,5,210
"De 25 a 29 años (004)",151,148,1,26,37,38,41,5,,,3,424
"De 30 a 34 años (005)",120,116,1,17,19,20,39,19,1,,4,413
"De 35 a 39 años (006)",90,89,,7,11,9,35,21,6,,1,396
"De 40 a 44 años (007)",85,83,1,9,2,9,31,23,6,2,2,401
"De 45 a 49 años (008)",54,53,,5,3,7,17,14,7,,1,257
"De 50 y más años (009)",125,121,1,11,13,13,35,25,17,6,4,598
"Conviviente (010)",591,579,9,126,128,84,134,74,20,4,12,1907
"De 12 a 14 años (011)",7,5,,5,,,,,,,2,5
"De 15 a 19 años (012)",77,75,4,45,25,1,,,,,2,98
"De 20 a 24 años (013)",95,91,1,31,41,14,4,,,,4,173
"De 25 a 29 años (014)",124,123,1,19,33,36,32,2,,,1,344
"De 30 a 34 años (015)",90,89,1,11,14,16,31,15,1,,1,326
"De 35 a 39 años (016)",63,63,,4,5,6,28,17,3,,,289
"De 40 a 44 años (017)",52,51,1,4,1,3,20,15,5,2,1,268
"De 45 a 49 años (018)",28,28,,2,1,3,8,10,4,,,147
"De 50 y más años (019)",55,54,1,5,8,5,11,15,7,2,1,257
"Separado(a) (020)",33,32,1,11,5,5,5,3,1,1,1,95
"De 15 a 19 años (022)",7,7,1,6,,,,,,,,6
"De 20 a 24 años (023)",4,4,,1,2,1,,,,,,8
"De 25 a 29 años (024)",4,4,,2,1,,1,,,,,9
"De 30 a 34 años (025)",3,3,,,,1,1,1,,,,14
