"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAJABAMBA (000)",26675,25839,7617,3318,3032,2640,3806,2679,1725,1022,836,77371
"De 12 a 14 años (001)",2821,2798,2791,5,2,,,,,,23,9
"De 15 a 19 años (002)",3561,3474,2905,501,62,5,1,,,,87,644
"De 20 a 24 años (003)",2977,2732,907,990,590,181,61,3,,,245,2991
"De 25 a 29 años (004)",2602,2427,299,646,721,468,269,23,1,,175,4790
"De 30 a 34 años (005)",2294,2216,148,363,462,497,569,144,31,2,78,6469
"De 35 a 39 años (006)",2299,2242,114,199,376,454,660,318,104,17,57,8311
"De 40 a 44 años (007)",1971,1927,82,129,247,310,564,362,164,69,44,8522
"De 45 a 49 años (008)",1666,1642,56,115,163,205,404,358,235,106,24,8289
"De 50 y más años (009)",6484,6381,315,370,409,520,1278,1471,1190,828,103,37346
"Conviviente (010)",9724,9533,527,1799,1753,1466,1939,1119,619,311,191,34114
"De 12 a 14 años (011)",41,19,15,2,2,,,,,,22,6
"De 15 a 19 años (012)",660,586,175,359,49,3,,,,,74,466
"De 20 a 24 años (013)",1492,1452,141,663,453,143,49,3,,,40,2223
"De 25 a 29 años (014)",1555,1534,62,371,527,354,204,15,1,,21,3462
"De 30 a 34 años (015)",1361,1353,30,168,276,340,414,101,23,1,8,4386
"De 35 a 39 años (016)",1277,1271,18,79,187,263,425,216,72,11,6,5217
"De 40 a 44 años (017)",954,953,18,38,117,145,310,194,94,37,1,4533
"De 45 a 49 años (018)",739,736,15,33,53,89,189,191,110,56,3,4015
"De 50 y más años (019)",1645,1629,53,86,89,129,348,399,319,206,16,9806
"Separado(a) (020)",1660,1641,22,614,360,238,211,110,55,31,19,4478
"De 12 a 14 años (021)",3,2,1,1,,,,,,,1,1
"De 15 a 19 años (022)",81,76,4,70,2,,,,,,5,74
