"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia POMABAMBA (000)",7087,6825,28,1220,1047,948,1787,1139,521,135,262,27191
"De 12 a 14 años (001)",5,3,1,2,,,,,,,2,2
"De 15 a 19 años (002)",151,137,3,118,13,3,,,,,14,153
"De 20 a 24 años (003)",714,616,3,402,150,47,12,2,,,98,904
"De 25 a 29 años (004)",823,764,1,275,261,153,69,5,,,59,1579
"De 30 a 34 años (005)",759,736,2,117,174,158,226,53,5,1,23,2316
"De 35 a 39 años (006)",801,783,2,56,112,164,294,126,28,1,18,3112
"De 40 a 44 años (007)",746,737,1,46,71,92,285,165,66,11,9,3444
"De 45 a 49 años (008)",602,595,1,28,63,74,181,150,81,17,7,3007
"De 50 y más años (009)",2486,2454,14,176,203,257,720,638,341,105,32,12674
"Conviviente (010)",2721,2669,14,625,538,420,620,314,115,23,52,8891
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",99,87,3,69,13,2,,,,,12,101
"De 20 a 24 años (013)",453,435,2,270,116,37,10,,,,18,653
"De 25 a 29 años (014)",519,510,1,160,188,117,42,2,,,9,1074
"De 30 a 34 años (015)",424,421,2,44,106,96,140,29,3,1,3,1369
"De 35 a 39 años (016)",354,352,1,16,43,70,152,60,10,,2,1450
"De 40 a 44 años (017)",260,260,1,11,18,34,106,57,26,7,,1269
"De 45 a 49 años (018)",185,183,,11,16,21,59,52,20,4,2,898
"De 50 y más años (019)",424,420,4,43,38,43,111,114,56,11,4,2076
"Separado(a) (020)",463,458,3,209,100,48,68,23,7,,5,1061
"De 15 a 19 años (022)",30,29,,29,,,,,,,1,29
"De 20 a 24 años (023)",71,70,,56,11,2,1,,,,1,88
"De 25 a 29 años (024)",73,73,,45,23,2,3,,,,,109
