"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANAS (000)",9128,7987,562,288,291
"Agric., ganadería, caza y silvicultura (001)",6387,6212,151,19,5
"Pesca (002)",4,3,1,,
"Explotación de minas y canteras (003)",19,4,5,6,4
"Industrias manufactureras (004)",334,307,21,5,1
"Suministro de electricidad, gas y agua (005)",16,3,2,11,
"Construcción (006)",618,361,172,70,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",404,384,16,3,1
"Venta, mant.y rep. veh.autom y motoc. (008)",19,18,,1,
"Comercio al por mayor (009)",13,11,1,,1
"Comercio al por menor (010)",372,355,15,2,
"Hoteles y restaurantes (011)",145,130,15,,
"Trans., almac. y comunicaciones (012)",122,97,10,11,4
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",49,28,8,7,6
"Admin.pub. y defensa; p. segur soc.afil (015)",201,,,,201
"Enseñanza (016)",427,151,126,141,9
"Servicios sociales y de salud (017)",60,15,2,1,42
"Otras activ. serv.comun.soc y personales (018)",62,41,15,5,1
"Hogares privados con servicio doméstico (019)",57,57,,,
"Actividad economica no especificada (021)",222,194,18,9,1
"Hombres (022)",5833,4924,443,240,226
"Agric., ganadería, caza y silvicultura (023)",3911,3779,110,17,5
"Pesca (024)",4,3,1,,
"Explotación de minas y canteras (025)",19,4,5,6,4
"Industrias manufactureras (026)",283,261,17,5,
"Suministro de electricidad, gas y agua (027)",15,3,2,10,
"Construcción (028)",597,350,165,67,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",174,167,4,2,1
"Venta, mant.y rep. veh.autom y motoc. (030)",18,17,,1,
"Comercio al por mayor (031)",6,5,,,1
"Comercio al por menor (032)",150,145,4,1,
"Hoteles y restaurantes (033)",19,16,3,,
"Trans., almac. y comunicaciones (034)",111,88,9,10,4
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",41,23,8,7,3
"Admin.pub. y defensa; p. segur soc.afil (037)",173,,,,173
"Enseñanza (038)",301,93,96,105,7
"Servicios sociales y de salud (039)",24,8,2,1,13
"Otras activ. serv.comun.soc y personales (040)",41,27,11,3,
"Hogares privados con servicio doméstico (041)",16,16,,,
"Actividad economica no especificada (043)",103,86,10,7,
"Mujeres (044)",3295,3063,119,48,65
