"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia YAULI (000)",18726,4968,7602,5098,271,607,180
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,40,,,,,
"Profes., científicos e intelectuales (002)",1409,1205,,162,34,8,
"Técnicos de nivel medio y trab. asimilados (003)",1223,973,,209,33,8,
"Jefes y empleados de oficina (004)",706,703,,1,1,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2502,809,55,1371,70,197,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",670,4,6,620,34,6,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",4060,,3435,549,51,25,
"Obreros construc.,conf., papel, fab., instr. (008)",2749,319,1454,936,30,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",4558,677,2311,1066,13,311,180
"Otra (010)",105,105,,,,,
"Ocupación no especificada (011)",704,133,341,184,5,41,
"Hombres (012)",13786,3164,7167,3014,178,251,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,31,,,,,
"Profes., científicos e intelectuales (014)",785,657,,104,21,3,
"Técnicos de nivel medio y trab. asimilados (015)",933,748,,161,22,2,
"Jefes y empleados de oficina (016)",408,407,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1106,492,36,511,28,39,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",527,4,6,485,29,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",3883,,3395,429,42,17,
"Obreros construc.,conf., papel, fab., instr. (020)",2699,315,1432,914,28,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2890,338,2033,340,4,163,12
"Otra (022)",101,101,,,,,
"Ocupación no especificada (023)",423,71,265,70,3,14,
"Mujeres (024)",4940,1804,435,2084,93,356,168
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,9,,,,,
"Profes., científicos e intelectuales (026)",624,548,,58,13,5,
"Técnicos de nivel medio y trab. asimilados (027)",290,225,,48,11,6,
"Jefes y empleados de oficina (028)",298,296,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1396,317,19,860,42,158,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",143,,,135,5,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",177,,40,120,9,8,
"Obreros construc.,conf., papel, fab., instr. (032)",50,4,22,22,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1668,339,278,726,9,148,168
"Otra (034)",4,4,,,,,
"Ocupación no especificada (035)",281,62,76,114,2,27,
,,,,,,,
"URBANA (036)",16203,4604,6246,4517,246,416,174
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",38,38,,,,,
"Profes., científicos e intelectuales (038)",1332,1138,,152,34,8,
"Técnicos de nivel medio y trab. asimilados (039)",1126,889,,197,33,7,
"Jefes y empleados de oficina (040)",659,656,,1,1,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2327,724,47,1301,67,188,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",258,2,4,237,14,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",3609,,3008,528,50,23,
"Obreros construc.,conf., papel, fab., instr. (044)",2506,291,1280,895,30,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",3593,637,1602,1029,12,139,174
"Otra (046)",103,103,,,,,
"Ocupación no especificada (047)",652,126,305,177,5,39,
"Hombres (048)",11758,2857,5973,2604,159,154,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",29,29,,,,,
"Profes., científicos e intelectuales (050)",714,594,,96,21,3,
"Técnicos de nivel medio y trab. asimilados (051)",852,677,,151,22,2,
"Jefes y empleados de oficina (052)",372,371,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1000,423,32,482,26,37,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",212,2,4,193,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",3439,,2970,413,41,15,
"Obreros construc.,conf., papel, fab., instr. (056)",2461,287,1261,875,28,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",2188,308,1465,327,4,73,11
"Otra (058)",99,99,,,,,
"Ocupación no especificada (059)",392,67,241,67,3,14,
"Mujeres (060)",4445,1747,273,1913,87,262,163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",9,9,,,,,
"Profes., científicos e intelectuales (062)",618,544,,56,13,5,
"Técnicos de nivel medio y trab. asimilados (063)",274,212,,46,11,5,
"Jefes y empleados de oficina (064)",287,285,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1327,301,15,819,41,151,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",46,,,44,1,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",170,,38,115,9,8,
"Obreros construc.,conf., papel, fab., instr. (068)",45,4,19,20,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1405,329,137,702,8,66,163
"Otra (070)",4,4,,,,,
"Ocupación no especificada (071)",260,59,64,110,2,25,
,,,,,,,
"RURAL (072)",2523,364,1356,581,25,191,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",2,2,,,,,
"Profes., científicos e intelectuales (074)",77,67,,10,,,
"Técnicos de nivel medio y trab. asimilados (075)",97,84,,12,,1,
"Jefes y empleados de oficina (076)",47,47,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",175,85,8,70,3,9,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",412,2,2,383,20,5,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",451,,427,21,1,2,
"Obreros construc.,conf., papel, fab., instr. (080)",243,28,174,41,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",965,40,709,37,1,172,6
"Otra (082)",2,2,,,,,
"Ocupación no especificada (083)",52,7,36,7,,2,
"Hombres (084)",2028,307,1194,410,19,97,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",71,63,,8,,,
"Técnicos de nivel medio y trab. asimilados (087)",81,71,,10,,,
"Jefes y empleados de oficina (088)",36,36,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",106,69,4,29,2,2,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",315,2,2,292,16,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",444,,425,16,1,2,
"Obreros construc.,conf., papel, fab., instr. (092)",238,28,171,39,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",702,30,568,13,,90,1
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",31,4,24,3,,,
"Mujeres (096)",495,57,162,171,6,94,5
"Profes., científicos e intelectuales (098)",6,4,,2,,,
"Técnicos de nivel medio y trab. asimilados (099)",16,13,,2,,1,
