"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15276,2340,4082,6858,96,1590,310
"Sin nivel (001)",1475,28,225,924,29,202,67
"Educación inicial (002)",8,,4,3,,1,
"Primaria (003)",6732,123,1192,4273,28,946,170
"Secundaria (004)",3309,374,1420,1088,20,349,58
"Superior no univ. incompleta (005)",721,223,300,153,4,35,6
"Superior no univ. completa (006)",1714,755,656,245,7,44,7
"Superior univ. incompleta (007)",321,144,117,53,2,4,1
"Superior univ. completa (008)",996,693,168,119,6,9,1
"Hombres (010)",12576,1588,3841,5876,82,1178,11
"Sin nivel (011)",1003,11,174,709,21,85,3
"Educación inicial (012)",7,,4,3,,,
"Primaria (013)",5832,80,1115,3869,24,740,4
"Secundaria (014)",2861,287,1361,897,20,293,3
"Superior no univ. incompleta (015)",581,160,291,102,4,23,1
"Superior no univ. completa (016)",1328,490,629,177,7,25,
"Superior univ. incompleta (017)",252,100,113,34,1,4,
"Superior univ. completa (018)",712,460,154,85,5,8,
"Mujeres (020)",2700,752,241,982,14,412,299
"Sin nivel (021)",472,17,51,215,8,117,64
"Educación inicial (022)",1,,,,,1,
"Primaria (023)",900,43,77,404,4,206,166
"Secundaria (024)",448,87,59,191,,56,55
"Superior no univ. incompleta (025)",140,63,9,51,,12,5
"Superior no univ. completa (026)",386,265,27,68,,19,7
"Superior univ. incompleta (027)",69,44,4,19,1,,1
"Superior univ. completa (028)",284,233,14,34,1,1,1
,,,,,,,
"URBANA (030)",5228,1555,1677,1594,25,242,135
"Sin nivel (031)",319,17,100,152,1,25,24
"Educación inicial (032)",5,,2,2,,1,
"Primaria (033)",1309,70,498,579,10,91,61
"Secundaria (034)",1481,260,672,435,6,71,37
"Superior no univ. incompleta (035)",411,157,120,106,3,20,5
"Superior no univ. completa (036)",932,511,203,182,1,29,6
"Superior univ. incompleta (037)",172,98,34,37,2,,1
"Superior univ. completa (038)",599,442,48,101,2,5,1
"Hombres (040)",3627,925,1562,983,20,131,6
"Sin nivel (041)",142,7,76,48,,9,2
"Educación inicial (042)",4,,2,2,,,
"Primaria (043)",954,38,464,390,8,52,2
"Secundaria (044)",1155,190,635,278,6,45,1
"Superior no univ. incompleta (045)",293,101,119,58,3,11,1
"Superior no univ. completa (046)",602,276,194,121,1,10,
"Superior univ. incompleta (047)",112,61,31,19,1,,
"Superior univ. completa (048)",365,252,41,67,1,4,
"Mujeres (050)",1601,630,115,611,5,111,129
"Sin nivel (051)",177,10,24,104,1,16,22
"Educación inicial (052)",1,,,,,1,
"Primaria (053)",355,32,34,189,2,39,59
"Secundaria (054)",326,70,37,157,,26,36
"Superior no univ. incompleta (055)",118,56,1,48,,9,4
"Superior no univ. completa (056)",330,235,9,61,,19,6
"Superior univ. incompleta (057)",60,37,3,18,1,,1
"Superior univ. completa (058)",234,190,7,34,1,1,1
,,,,,,,
"RURAL (060)",10048,785,2405,5264,71,1348,175
"Sin nivel (061)",1156,11,125,772,28,177,43
"Educación inicial (062)",3,,2,1,,,
"Primaria (063)",5423,53,694,3694,18,855,109
"Secundaria (064)",1828,114,748,653,14,278,21
"Superior no univ. incompleta (065)",310,66,180,47,1,15,1
"Superior no univ. completa (066)",782,244,453,63,6,15,1
"Superior univ. incompleta (067)",149,46,83,16,,4,
"Superior univ. completa (068)",397,251,120,18,4,4,
"Hombres (070)",8949,663,2279,4893,62,1047,5
"Sin nivel (071)",861,4,98,661,21,76,1
"Educación inicial (072)",3,,2,1,,,
"Primaria (073)",4878,42,651,3479,16,688,2
"Secundaria (074)",1706,97,726,619,14,248,2
"Superior no univ. incompleta (075)",288,59,172,44,1,12,
"Superior no univ. completa (076)",726,214,435,56,6,15,
"Superior univ. incompleta (077)",140,39,82,15,,4,
"Superior univ. completa (078)",347,208,113,18,4,4,
"Mujeres (080)",1099,122,126,371,9,301,170
"Sin nivel (081)",295,7,27,111,7,101,42
"Primaria (083)",545,11,43,215,2,167,107
"Secundaria (084)",122,17,22,34,,30,19
"Superior no univ. incompleta (085)",22,7,8,3,,3,1
"Superior no univ. completa (086)",56,30,18,7,,,1
"Superior univ. incompleta (087)",9,7,1,1,,,
"Superior univ. completa (088)",50,43,7,,,,
