"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHANCHAMAYO (000)",2564,2041,523
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",334,318,16
"Casa pensión (003)",37,30,7
"Hospital, clinica (004)",175,169,6
"Cárcel, centro de readaptación social (005)",359,359,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",1131,673,458
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",526,490,36
