"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUALGAYOC (000)",42079,2542,4781,25263,132,8962,399
"Sin nivel (001)",11591,40,558,7578,15,3268,132
"Educación inicial (002)",47,1,6,25,,15,
"Primaria (003)",21001,140,2445,13837,47,4349,183
"Secundaria (004)",6064,374,1285,3119,36,1186,64
"Superior no univ. incompleta (005)",560,182,125,200,6,36,11
"Superior no univ. completa (006)",1772,1082,241,356,11,76,6
"Superior univ. incompleta (007)",199,92,35,46,3,21,2
"Superior univ. completa (008)",845,631,86,102,14,11,1
"Hombres (010)",22962,1624,4442,14008,94,2782,12
"Sin nivel (011)",3004,9,481,2252,9,252,1
"Educación inicial (012)",20,1,5,7,,7,
"Primaria (013)",13017,83,2288,8975,37,1629,5
"Secundaria (014)",4657,291,1228,2291,29,815,3
"Superior no univ. incompleta (015)",413,126,117,142,4,22,2
"Superior no univ. completa (016)",1122,622,219,234,7,39,1
"Superior univ. incompleta (017)",146,67,34,33,2,10,
"Superior univ. completa (018)",583,425,70,74,6,8,
"Mujeres (020)",19117,918,339,11255,38,6180,387
"Sin nivel (021)",8587,31,77,5326,6,3016,131
"Educación inicial (022)",27,,1,18,,8,
"Primaria (023)",7984,57,157,4862,10,2720,178
"Secundaria (024)",1407,83,57,828,7,371,61
"Superior no univ. incompleta (025)",147,56,8,58,2,14,9
"Superior no univ. completa (026)",650,460,22,122,4,37,5
"Superior univ. incompleta (027)",53,25,1,13,1,11,2
"Superior univ. completa (028)",262,206,16,28,8,3,1
,,,,,,,
"URBANA (030)",7672,2143,1553,3139,79,517,241
"Sin nivel (031)",647,24,88,399,2,82,52
"Educación inicial (032)",10,1,3,4,,2,
"Primaria (033)",2287,102,459,1379,21,213,113
"Secundaria (034)",1997,277,606,873,28,155,58
"Superior no univ. incompleta (035)",394,151,97,119,4,13,10
"Superior no univ. completa (036)",1435,943,192,250,10,35,5
"Superior univ. incompleta (037)",161,77,32,35,3,12,2
"Superior univ. completa (038)",741,568,76,80,11,5,1
"Hombres (040)",5222,1326,1413,2157,55,264,7
"Sin nivel (041)",261,5,68,165,2,21,
"Educación inicial (042)",7,1,2,3,,1,
"Primaria (043)",1618,62,407,1009,17,120,3
"Secundaria (044)",1569,211,578,662,23,94,1
"Superior no univ. incompleta (045)",285,101,91,81,2,8,2
"Superior no univ. completa (046)",866,517,174,156,6,12,1
"Superior univ. incompleta (047)",115,54,31,23,2,5,
"Superior univ. completa (048)",501,375,62,58,3,3,
"Mujeres (050)",2450,817,140,982,24,253,234
"Sin nivel (051)",386,19,20,234,,61,52
"Educación inicial (052)",3,,1,1,,1,
"Primaria (053)",669,40,52,370,4,93,110
"Secundaria (054)",428,66,28,211,5,61,57
"Superior no univ. incompleta (055)",109,50,6,38,2,5,8
"Superior no univ. completa (056)",569,426,18,94,4,23,4
"Superior univ. incompleta (057)",46,23,1,12,1,7,2
"Superior univ. completa (058)",240,193,14,22,8,2,1
,,,,,,,
"RURAL (060)",34407,399,3228,22124,53,8445,158
"Sin nivel (061)",10944,16,470,7179,13,3186,80
"Educación inicial (062)",37,,3,21,,13,
"Primaria (063)",18714,38,1986,12458,26,4136,70
"Secundaria (064)",4067,97,679,2246,8,1031,6
"Superior no univ. incompleta (065)",166,31,28,81,2,23,1
"Superior no univ. completa (066)",337,139,49,106,1,41,1
"Superior univ. incompleta (067)",38,15,3,11,,9,
"Superior univ. completa (068)",104,63,10,22,3,6,
"Hombres (070)",17740,298,3029,11851,39,2518,5
"Sin nivel (071)",2743,4,413,2087,7,231,1
"Educación inicial (072)",13,,3,4,,6,
"Primaria (073)",11399,21,1881,7966,20,1509,2
"Secundaria (074)",3088,80,650,1629,6,721,2
"Superior no univ. incompleta (075)",128,25,26,61,2,14,
"Superior no univ. completa (076)",256,105,45,78,1,27,
"Superior univ. incompleta (077)",31,13,3,10,,5,
"Superior univ. completa (078)",82,50,8,16,3,5,
"Mujeres (080)",16667,101,199,10273,14,5927,153
"Sin nivel (081)",8201,12,57,5092,6,2955,79
"Educación inicial (082)",24,,,17,,7,
"Primaria (083)",7315,17,105,4492,6,2627,68
"Secundaria (084)",979,17,29,617,2,310,4
"Superior no univ. incompleta (085)",38,6,2,20,,9,1
"Superior no univ. completa (086)",81,34,4,28,,14,1
"Superior univ. incompleta (087)",7,2,,1,,4,
"Superior univ. completa (088)",22,13,2,6,,1,
