"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SATIPO (000)",59524,148264,136457,,4275,92,2.9
"De 12 a 14 años (001)",6649,55,52,,18,94.5,32.7
"De 15 a 19 años (002)",9676,2860,2779,741,97.2,25.9,
"De 20 a 24 años (003)",9080,10855,10504,1177,96.8,10.8,
"De 25 a 29 años (004)",7693,16333,15745,970,96.4,5.9,
"De 30 a 34 años (005)",5937,18142,17336,638,95.6,3.5,
"De 35 a 39 años (006)",5652,21954,20771,494,94.6,2.3,
"De 40 a 44 años (007)",4337,19916,18532,181,93.1,0.9,
"De 45 a 49 años (008)",3474,17882,16186,54,90.5,0.3,
"De 50 y más años (009)",7026,40267,34552,2,85.8,,
"Conviviente (010)",24220,71100,66672,3249,93.8,4.6,
"De 12 a 14 años (011)",141,39,38,11,97.4,28.2,
"De 15 a 19 años (012)",2552,2233,2164,591,96.9,26.5,
"De 20 a 24 años (013)",5310,8713,8410,965,96.5,11.1,
"De 25 a 29 años (014)",5009,12215,11770,754,96.4,6.2,
"De 30 a 34 años (015)",3577,11859,11324,454,95.5,3.8,
"De 35 a 39 años (016)",3092,12683,11960,324,94.3,2.6,
"De 40 a 44 años (017)",1943,9482,8780,115,92.6,1.2,
"De 45 a 49 años (018)",1250,6537,5877,34,89.9,0.5,
"De 50 y más años (019)",1346,7339,6349,1,86.5,,
"Separado(a) (020)",2329,6415,5951,157,92.8,2.4,
"De 12 a 14 años (021)",10,6,4,1,66.7,16.7,
"De 15 a 19 años (022)",186,193,192,47,99.5,24.4,
"De 20 a 24 años (023)",373,493,484,45,98.2,9.1,
"De 25 a 29 años (024)",352,617,595,24,96.4,3.9,
"De 30 a 34 años (025)",319,729,695,16,95.3,2.2,
"De 35 a 39 años (026)",318,992,956,17,96.4,1.7,
"De 40 a 44 años (027)",254,866,813,5,93.9,0.6,
"De 45 a 49 años (028)",184,793,734,2,92.6,0.3,
"De 50 y más años (029)",333,1726,1478,,85.6,,
"Casado(a) (030)",12226,54935,50373,697,91.7,1.3,
"De 12 a 14 años (031)",5,1,1,1,100,100,
"De 15 a 19 años (032)",146,151,146,40,96.7,26.5,
"De 20 a 24 años (033)",632,1138,1114,112,97.9,9.8,
"De 25 a 29 años (034)",1205,3017,2919,174,96.8,5.8,
"De 30 a 34 años (035)",1510,4875,4678,156,96,3.2,
