"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TRUJILLO",,,
"Viviendas particulares (001)",177643,160065,17578
"Ocupantes presentes (002)",805409,740027,65382
"Casa independiente",,,
"Viviendas particulares (004)",161897,145584,16313
"Ocupantes presentes (005)",748846,687419,61427
"Departamento en edificio",,,
"Viviendas particulares (007)",9320,9320,
"Ocupantes presentes (008)",33366,33366,
"Vivienda en quinta",,,
"Viviendas particulares (010)",3028,3028,
"Ocupantes presentes (011)",11458,11458,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",1829,1646,183
"Ocupantes presentes (014)",6924,6186,738
"Choza o cabaña",,,
"Viviendas particulares (016)",71,21,50
"Ocupantes presentes (017)",299,96,203
"Vivienda improvisada",,,
"Viviendas particulares (019)",1099,153,946
"Ocupantes presentes (020)",3300,546,2754
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",374,299,75
"Ocupantes presentes (023)",1122,889,233
"Otro tipo",,,
"Viviendas particulares (025)",25,14,11
"Ocupantes presentes (026)",94,67,27
,,,
URBANA,,,
"Viviendas particulares (028)",173046,157318,15728
"Ocupantes presentes (029)",785917,727931,57986
"Casa independiente",,,
"Viviendas particulares (031)",157377,142861,14516
"Ocupantes presentes (032)",729668,675429,54239
"Departamento en edificio",,,
"Viviendas particulares (034)",9320,9320,
"Ocupantes presentes (035)",33366,33366,
"Vivienda en quinta",,,
"Viviendas particulares (037)",3028,3028,
"Ocupantes presentes (038)",11458,11458,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",1829,1646,183
"Ocupantes presentes (041)",6924,6186,738
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1099,153,946
"Ocupantes presentes (047)",3300,546,2754
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",369,296,73
"Ocupantes presentes (050)",1108,879,229
"Otro tipo",,,
"Viviendas particulares (052)",24,14,10
"Ocupantes presentes (053)",93,67,26
,,,
RURAL,,,
"Viviendas particulares (055)",4597,2747,1850
"Ocupantes presentes (056)",19492,12096,7396
"Casa independiente",,,
"Viviendas particulares (058)",4520,2723,1797
"Ocupantes presentes (059)",19178,11990,7188
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",71,21,50
"Ocupantes presentes (071)",299,96,203
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",5,3,2
"Ocupantes presentes (077)",14,10,4
"Otro tipo",,,
"Viviendas particulares (079)",1,,1
"Ocupantes presentes (080)",1,,1
