"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA UNION (000)",5843,4733,651,252,207
"Agric., ganadería, caza y silvicultura (001)",4059,3600,445,14,
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",37,17,7,11,2
"Industrias manufactureras (004)",88,83,2,2,1
"Suministro de electricidad, gas y agua (005)",15,13,1,1,
"Construcción (006)",223,142,69,8,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",294,282,9,3,
"Venta, mant.y rep. veh.autom y motoc. (008)",14,12,2,,
"Comercio al por mayor (009)",13,12,,1,
"Comercio al por menor (010)",267,258,7,2,
"Hoteles y restaurantes (011)",113,104,7,2,
"Trans., almac. y comunicaciones (012)",94,70,10,14,
"Activid.inmobil., empres. y alquileres (014)",65,36,12,17,
"Admin.pub. y defensa; p. segur soc.afil (015)",128,,,,128
"Enseñanza (016)",369,142,53,161,13
"Servicios sociales y de salud (017)",91,25,8,4,54
"Otras activ. serv.comun.soc y personales (018)",53,31,6,13,3
"Hogares privados con servicio doméstico (019)",95,95,,,
"Actividad economica no especificada (021)",117,91,22,2,2
"Hombres (022)",3541,2845,429,145,122
"Agric., ganadería, caza y silvicultura (023)",2554,2262,280,12,
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",37,17,7,11,2
"Industrias manufactureras (026)",59,56,1,2,
"Suministro de electricidad, gas y agua (027)",14,12,1,1,
"Construcción (028)",219,138,69,8,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",124,119,4,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",11,10,1,,
"Comercio al por mayor (031)",8,8,,,
"Comercio al por menor (032)",105,101,3,1,
"Hoteles y restaurantes (033)",14,13,1,,
"Trans., almac. y comunicaciones (034)",87,67,10,10,
"Activid.inmobil., empres. y alquileres (036)",44,26,9,9,
"Admin.pub. y defensa; p. segur soc.afil (037)",89,,,,89
"Enseñanza (038)",160,48,27,79,6
"Servicios sociales y de salud (039)",36,11,5,2,18
"Otras activ. serv.comun.soc y personales (040)",34,17,5,9,3
"Hogares privados con servicio doméstico (041)",16,16,,,
"Actividad economica no especificada (043)",53,42,10,1,
"Mujeres (044)",2302,1888,222,107,85
"Agric., ganadería, caza y silvicultura (045)",1505,1338,165,2,
"Pesca (046)",1,1,,,
