"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TAMBOPATA (000)",27095,58534,54733,,1654,93.5,2.8
"De 12 a 14 años (001)",2487,28,27,,10,96.4,35.7
"De 15 a 19 años (002)",4341,1008,978,253,97,25.1,
"De 20 a 24 años (003)",4168,3638,3532,436,97.1,12,
"De 25 a 29 años (004)",3641,5852,5733,384,98,6.6,
"De 30 a 34 años (005)",3013,7246,7011,319,96.8,4.4,
"De 35 a 39 años (006)",2670,8165,7898,179,96.7,2.2,
"De 40 a 44 años (007)",2124,8015,7624,63,95.1,0.8,
"De 45 a 49 años (008)",1560,6786,6327,9,93.2,0.1,
"De 50 y más años (009)",3091,17796,15603,1,87.7,,
"Conviviente (010)",11959,31105,29485,1235,94.8,4,
"De 12 a 14 años (011)",52,14,14,4,100,28.6,
"De 15 a 19 años (012)",1022,707,689,178,97.5,25.2,
"De 20 a 24 años (013)",2330,2797,2719,338,97.2,12.1,
"De 25 a 29 años (014)",2430,4482,4396,312,98.1,7,
"De 30 a 34 años (015)",1956,5213,5037,243,96.6,4.7,
"De 35 a 39 años (016)",1537,5093,4921,121,96.6,2.4,
"De 40 a 44 años (017)",1089,4474,4243,35,94.8,0.8,
"De 45 a 49 años (018)",691,3288,3034,4,92.3,0.1,
"De 50 y más años (019)",852,5037,4432,,88,,
"Separado(a) (020)",1155,3517,3267,67,92.9,1.9,
"De 12 a 14 años (021)",4,2,2,2,100,100,
"De 15 a 19 años (022)",59,60,58,19,96.7,31.7,
"De 20 a 24 años (023)",157,196,191,17,97.4,8.7,
"De 25 a 29 años (024)",172,293,282,13,96.2,4.4,
"De 30 a 34 años (025)",164,382,370,10,96.9,2.6,
"De 35 a 39 años (026)",161,475,449,6,94.5,1.3,
"De 40 a 44 años (027)",131,495,463,,93.5,,
"De 45 a 49 años (028)",105,458,430,,93.9,,
"De 50 y más años (029)",202,1156,1022,,88.4,,
"Casado(a) (030)",4346,16869,15652,193,92.8,1.1,
"De 12 a 14 años (031)",3,1,1,,100,,
"De 15 a 19 años (032)",37,34,32,4,94.1,11.8,
"De 20 a 24 años (033)",170,206,196,26,95.1,12.6,
"De 25 a 29 años (034)",353,639,628,37,98.3,5.8,
"De 30 a 34 años (035)",513,1222,1181,57,96.6,4.7,
"De 35 a 39 años (036)",668,2070,2011,40,97.1,1.9,
