"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CANTA (000)",6086,701,2070,2261,263,567,80,144
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",15,15,,,,,,
"Profes., científicos e intelectuales (002)",273,233,,37,3,,,
"Técnicos de nivel medio y trab. asimilados (003)",134,77,,41,15,1,,
"Jefes y empleados de oficina (004)",98,98,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",518,69,18,366,15,50,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1541,5,2,1327,207,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",239,,79,149,11,,,
"Obreros construc.,conf.,papel, fab., instr. (008)",342,38,138,154,8,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",2625,111,1804,148,1,481,80,
"Otra (010)",32,32,,,,,,
"Ocupación no especificada (011)",125,23,29,39,3,31,,
"Desocupado (012)",144,,,,,,,144
"Hombres (013)",4144,368,1582,1621,216,238,5,114
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",12,12,,,,,,
"Profes., científicos e intelectuales (015)",128,98,,29,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",75,32,,32,10,1,,
"Jefes y empleados de oficina (017)",56,56,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",180,34,3,128,5,10,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",1279,5,2,1093,179,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",201,,69,121,11,,,
"Obreros construc.,conf.,papel, fab., instr. (021)",338,38,137,151,8,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1682,58,1353,51,1,214,5,
"Otra (023)",29,29,,,,,,
"Ocupación no especificada (024)",50,6,18,16,1,9,,
"Desocupado (025)",114,,,,,,,114
"Mujeres (026)",1942,333,488,640,47,329,75,30
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",145,135,,8,2,,,
"Técnicos de nivel medio y trab. asimilados (029)",59,45,,9,5,,,
"Jefes y empleados de oficina (030)",42,42,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",338,35,15,238,10,40,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",262,,,234,28,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",38,,10,28,,,,
"Obreros construc.,conf.,papel, fab., instr. (034)",4,,1,3,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",943,53,451,97,,267,75,
"Otra (036)",3,3,,,,,,
"Ocupación no especificada (037)",75,17,11,23,2,22,,
"Desocupado (038)",30,,,,,,,30
,,,,,,,,
"URBANA (039)",2920,517,542,1276,119,338,61,67
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",10,10,,,,,,
"Profes., científicos e intelectuales (041)",219,194,,22,3,,,
"Técnicos de nivel medio y trab. asimilados (042)",96,50,,33,12,1,,
"Jefes y empleados de oficina (043)",73,73,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",318,46,9,216,14,33,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",820,1,1,744,74,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",97,,41,49,7,,,
"Obreros construc.,conf.,papel, fab., instr. (047)",203,21,94,80,6,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",908,75,388,102,,282,61,
"Otra (049)",29,29,,,,,,
"Ocupación no especificada (050)",80,18,9,30,3,20,,
"Desocupado (051)",67,,,,,,,67
"Hombres (052)",1876,254,433,898,83,153,4,51
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",7,7,,,,,,
"Profes., científicos e intelectuales (054)",99,80,,18,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",53,18,,27,7,1,,
"Jefes y empleados de oficina (056)",41,41,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",119,20,2,86,5,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",662,1,1,604,56,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",86,,38,41,7,,,
"Obreros construc.,conf.,papel, fab., instr. (060)",200,21,93,78,6,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",505,36,296,32,,137,4,
"Otra (062)",26,26,,,,,,
"Ocupación no especificada (063)",27,4,3,12,1,7,,
"Desocupado (064)",51,,,,,,,51
"Mujeres (065)",1044,263,109,378,36,185,57,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",120,114,,4,2,,,
"Técnicos de nivel medio y trab. asimilados (068)",43,32,,6,5,,,
"Jefes y empleados de oficina (069)",32,32,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",199,26,7,130,9,27,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",158,,,140,18,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",11,,3,8,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",3,,1,2,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",403,39,92,70,,145,57,
"Otra (075)",3,3,,,,,,
"Ocupación no especificada (076)",53,14,6,18,2,13,,
"Desocupado (077)",16,,,,,,,16
,,,,,,,,
"RURAL (078)",3166,184,1528,985,144,229,19,77
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",5,5,,,,,,
"Profes., científicos e intelectuales (080)",54,39,,15,,,,
"Técnicos de nivel medio y trab. asimilados (081)",38,27,,8,3,,,
"Jefes y empleados de oficina (082)",25,25,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",200,23,9,150,1,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",721,4,1,583,133,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",142,,38,100,4,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",139,17,44,74,2,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",1717,36,1416,46,1,199,19,
"Otra (088)",3,3,,,,,,
"Ocupación no especificada (089)",45,5,20,9,,11,,
"Desocupado (090)",77,,,,,,,77
"Hombres (091)",2268,114,1149,723,133,85,1,63
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",29,18,,11,,,,
"Técnicos de nivel medio y trab. asimilados (094)",22,14,,5,3,,,
"Jefes y empleados de oficina (095)",15,15,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",61,14,1,42,,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",617,4,1,489,123,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",115,,31,80,4,,,
