"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAEN (000)",50523,24882,25641
"Casa independiente (001)",45214,21459,23755
"Departamento en edificio (002)",1033,1033,
"Vivienda en quinta (003)",1365,1365,
"Vivienda en casa de vecindad (004)",907,907,
"Choza o cabaña (005)",1875,,1875
"Vivienda improvisada (006)",83,83,
"Local no dest.para hab. humana (007)",42,32,10
"Otro tipo (008)",4,3,1
