"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TUMBES (000)",51400,155,5719,2276,2683,7605,6125,4081,7240,13011,1057,1448
"Agric., ganadería, caza y silvicultura (001)",8137,,37,29,2,,4277,2,19,3771,,
"Pesca (002)",2426,1,70,39,20,,1848,4,24,420,,
"Explotación de minas y canteras (003)",46,,1,2,4,,,36,3,,,
"Industrias manufactureras (004)",3670,1,69,113,77,92,,2791,338,189,,
"Suministro de electricidad, gas y agua (005)",108,1,4,11,15,,,29,10,38,,
"Construcción (006)",2979,11,81,85,16,,,188,1910,688,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9365,2,67,357,85,5284,,959,74,2537,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1035,1,3,32,12,174,,735,55,23,,
"Comercio al por mayor (009)",570,1,9,57,32,318,,1,16,136,,
"Comercio al por menor (010)",7760,,55,268,41,4792,,223,3,2378,,
"Hoteles y restaurantes (011)",2728,2,30,102,69,1262,,,,1263,,
"Trans., almac. y comunicaciones (012)",6053,4,58,107,170,43,,15,4690,966,,
"Intermediación financiera (013)",266,1,45,52,155,,,,,13,,
"Activid.inmobil., empres. y alquileres (014)",2476,1,517,500,349,535,,26,65,483,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",3358,62,323,248,1152,135,,,65,316,1057,
"Enseñanza (016)",4226,63,3873,43,156,,,,2,89,,
"Servicios sociales y de salud (017)",920,2,405,296,60,35,,,14,108,,
"Otras activ. serv.comun.soc y personales (018)",1894,4,138,287,277,217,,31,26,914,,
"Hogares privados con servicio doméstico (019)",1219,,,1,,2,,,,1216,,
"Organiz. y organos extraterritoriales (020)",1,,,,1,,,,,,,
"Actividad economica no especificada (021)",1528,,1,4,75,,,,,,,1448
"Hombres (022)",36487,114,2627,1395,1244,3943,5958,3230,7123,9031,1039,783
"Agric., ganadería, caza y silvicultura (023)",7930,,31,25,,,4188,2,19,3665,,
"Pesca (024)",2315,1,58,36,15,,1770,4,24,407,,
"Explotación de minas y canteras (025)",43,,1,1,3,,,35,3,,,
"Industrias manufactureras (026)",2645,1,59,84,48,58,,1963,295,137,,
"Suministro de electricidad, gas y agua (027)",103,1,4,11,10,,,29,10,38,,
"Construcción (028)",2916,9,75,79,9,,,186,1886,672,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5519,2,33,149,44,2683,,942,72,1594,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",940,1,3,20,7,109,,725,53,22,,
"Comercio al por mayor (031)",370,1,4,37,20,188,,1,16,103,,
"Comercio al por menor (032)",4209,,26,92,17,2386,,216,3,1469,,
"Hoteles y restaurantes (033)",967,2,19,52,42,436,,,,416,,
"Trans., almac. y comunicaciones (034)",5786,3,40,73,102,31,,15,4650,872,,
"Intermediación financiera (035)",151,1,34,28,78,,,,,10,,
"Activid.inmobil., empres. y alquileres (036)",1880,1,381,376,156,533,,25,63,345,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",2392,49,220,156,552,129,,,61,186,1039,
"Enseñanza (038)",1589,41,1404,26,56,,,,2,60,,
"Servicios sociales y de salud (039)",343,1,172,97,24,6,,,13,30,,
"Otras activ. serv.comun.soc y personales (040)",1047,2,95,198,91,67,,29,25,540,,
"Hogares privados con servicio doméstico (041)",59,,,,,,,,,59,,
"Actividad economica no especificada (043)",802,,1,4,14,,,,,,,783
"Mujeres (044)",14913,41,3092,881,1439,3662,167,851,117,3980,18,665
"Agric., ganadería, caza y silvicultura (045)",207,,6,4,2,,89,,,106,,
"Pesca (046)",111,,12,3,5,,78,,,13,,
"Explotación de minas y canteras (047)",3,,,1,1,,,1,,,,
"Industrias manufactureras (048)",1025,,10,29,29,34,,828,43,52,,
"Suministro de electricidad, gas y agua (049)",5,,,,5,,,,,,,
"Construcción (050)",63,2,6,6,7,,,2,24,16,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3846,,34,208,41,2601,,17,2,943,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",95,,,12,5,65,,10,2,1,,
"Comercio al por mayor (053)",200,,5,20,12,130,,,,33,,
"Comercio al por menor (054)",3551,,29,176,24,2406,,7,,909,,
"Hoteles y restaurantes (055)",1761,,11,50,27,826,,,,847,,
"Trans., almac. y comunicaciones (056)",267,1,18,34,68,12,,,40,94,,
"Intermediación financiera (057)",115,,11,24,77,,,,,3,,
"Activid.inmobil., empres. y alquileres (058)",596,,136,124,193,2,,1,2,138,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",966,13,103,92,600,6,,,4,130,18,
"Enseñanza (060)",2637,22,2469,17,100,,,,,29,,
"Servicios sociales y de salud (061)",577,1,233,199,36,29,,,1,78,,
"Otras activ. serv.comun.soc y personales (062)",847,2,43,89,186,150,,2,1,374,,
"Hogares privados con servicio doméstico (063)",1160,,,1,,2,,,,1157,,
"Organiz. y organos extraterritoriales (064)",1,,,,1,,,,,,,
"Actividad economica no especificada (065)",726,,,,61,,,,,,,665
,,,,,,,,,,,,
"URBANA (066)",47643,142,5535,2224,2607,7394,4950,3919,6963,11441,1049,1419
"Agric., ganadería, caza y silvicultura (067)",5804,,36,28,1,,3142,2,17,2578,,
"Pesca (068)",2379,1,70,39,20,,1808,4,24,413,,
"Explotación de minas y canteras (069)",44,,1,2,4,,,34,3,,,
"Industrias manufactureras (070)",3519,1,67,107,72,92,,2669,336,175,,
"Suministro de electricidad, gas y agua (071)",100,1,4,11,15,,,28,8,33,,
"Construcción (072)",2922,11,81,82,16,,,187,1867,678,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",9055,2,67,343,84,5143,,925,69,2422,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",988,1,3,29,12,167,,704,50,22,,
"Comercio al por mayor (075)",494,1,9,54,31,302,,1,16,80,,
"Comercio al por menor (076)",7573,,55,260,41,4674,,220,3,2320,,
"Hoteles y restaurantes (077)",2672,2,28,100,67,1235,,,,1240,,
"Trans., almac. y comunicaciones (078)",5781,4,57,104,165,43,,15,4478,915,,
"Intermediación financiera (079)",262,1,45,49,154,,,,,13,,
"Activid.inmobil., empres. y alquileres (080)",2394,1,513,495,336,502,,25,60,462,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",3282,56,320,246,1118,131,,,63,299,1049,
"Enseñanza (082)",4038,56,3712,43,149,,,,2,76,,
"Servicios sociales y de salud (083)",898,2,399,288,57,34,,,13,105,,
"Otras activ. serv.comun.soc y personales (084)",1851,4,134,283,275,212,,30,23,890,,
"Hogares privados con servicio doméstico (085)",1145,,,1,,2,,,,1142,,
"Organiz. y organos extraterritoriales (086)",1,,,,1,,,,,,,
"Actividad economica no especificada (087)",1496,,1,3,73,,,,,,,1419
"Hombres (088)",33289,102,2567,1361,1213,3834,4798,3111,6850,7654,1031,768
"Agric., ganadería, caza y silvicultura (089)",5642,,30,24,,,3068,2,17,2501,,
"Pesca (090)",2270,1,58,36,15,,1730,4,24,402,,
"Explotación de minas y canteras (091)",41,,1,1,3,,,33,3,,,
"Industrias manufactureras (092)",2544,1,57,78,45,58,,1884,294,127,,
"Suministro de electricidad, gas y agua (093)",95,1,4,11,10,,,28,8,33,,
"Construcción (094)",2859,9,75,76,9,,,185,1843,662,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",5327,2,33,140,43,2617,,908,67,1517,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",898,1,3,19,7,105,,694,48,21,,
"Comercio al por mayor (097)",315,1,4,34,19,180,,1,16,60,,
"Comercio al por menor (098)",4114,,26,87,17,2332,,213,3,1436,,
"Hoteles y restaurantes (099)",958,2,18,51,42,431,,,,414,,
"Trans., almac. y comunicaciones (100)",5523,3,40,70,100,31,,15,4440,824,,
"Intermediación financiera (101)",150,1,34,27,78,,,,,10,,
"Activid.inmobil., empres. y alquileres (102)",1814,1,377,373,151,500,,24,59,329,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",2344,43,218,156,537,125,,,59,175,1031,
"Enseñanza (104)",1525,35,1359,26,52,,,,2,51,,
"Servicios sociales y de salud (105)",335,1,170,93,24,6,,,12,29,,
"Otras activ. serv.comun.soc y personales (106)",1020,2,92,196,90,66,,28,22,524,,
"Hogares privados con servicio doméstico (107)",56,,,,,,,,,56,,
"Actividad economica no especificada (109)",786,,1,3,14,,,,,,,768
"Mujeres (110)",14354,40,2968,863,1394,3560,152,808,113,3787,18,651
"Agric., ganadería, caza y silvicultura (111)",162,,6,4,1,,74,,,77,,
"Pesca (112)",109,,12,3,5,,78,,,11,,
"Explotación de minas y canteras (113)",3,,,1,1,,,1,,,,
"Industrias manufactureras (114)",975,,10,29,27,34,,785,42,48,,
"Suministro de electricidad, gas y agua (115)",5,,,,5,,,,,,,
"Construcción (116)",63,2,6,6,7,,,2,24,16,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",3728,,34,203,41,2526,,17,2,905,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",90,,,10,5,62,,10,2,1,,
"Comercio al por mayor (119)",179,,5,20,12,122,,,,20,,
"Comercio al por menor (120)",3459,,29,173,24,2342,,7,,884,,
"Hoteles y restaurantes (121)",1714,,10,49,25,804,,,,826,,
"Trans., almac. y comunicaciones (122)",258,1,17,34,65,12,,,38,91,,
"Intermediación financiera (123)",112,,11,22,76,,,,,3,,
"Activid.inmobil., empres. y alquileres (124)",580,,136,122,185,2,,1,1,133,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",938,13,102,90,581,6,,,4,124,18,
"Enseñanza (126)",2513,21,2353,17,97,,,,,25,,
"Servicios sociales y de salud (127)",563,1,229,195,33,28,,,1,76,,
"Otras activ. serv.comun.soc y personales (128)",831,2,42,87,185,146,,2,1,366,,
"Hogares privados con servicio doméstico (129)",1089,,,1,,2,,,,1086,,
"Organiz. y organos extraterritoriales (130)",1,,,,1,,,,,,,
"Actividad economica no especificada (131)",710,,,,59,,,,,,,651
,,,,,,,,,,,,
"RURAL (132)",3757,13,184,52,76,211,1175,162,277,1570,8,29
"Agric., ganadería, caza y silvicultura (133)",2333,,1,1,1,,1135,,2,1193,,
"Pesca (134)",47,,,,,,40,,,7,,
"Explotación de minas y canteras (135)",2,,,,,,,2,,,,
"Industrias manufactureras (136)",151,,2,6,5,,,122,2,14,,
"Suministro de electricidad, gas y agua (137)",8,,,,,,,1,2,5,,
"Construcción (138)",57,,,3,,,,1,43,10,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",310,,,14,1,141,,34,5,115,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",47,,,3,,7,,31,5,1,,
"Comercio al por mayor (141)",76,,,3,1,16,,,,56,,
"Comercio al por menor (142)",187,,,8,,118,,3,,58,,
"Hoteles y restaurantes (143)",56,,2,2,2,27,,,,23,,
"Trans., almac. y comunicaciones (144)",272,,1,3,5,,,,212,51,,
"Intermediación financiera (145)",4,,,3,1,,,,,,,
"Activid.inmobil., empres. y alquileres (146)",82,,4,5,13,33,,1,5,21,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",76,6,3,2,34,4,,,2,17,8,
"Enseñanza (148)",188,7,161,,7,,,,,13,,
"Servicios sociales y de salud (149)",22,,6,8,3,1,,,1,3,,
"Otras activ. serv.comun.soc y personales (150)",43,,4,4,2,5,,1,3,24,,
"Hogares privados con servicio doméstico (151)",74,,,,,,,,,74,,
"Actividad economica no especificada (153)",32,,,1,2,,,,,,,29
"Hombres (154)",3198,12,60,34,31,109,1160,119,273,1377,8,15
"Agric., ganadería, caza y silvicultura (155)",2288,,1,1,,,1120,,2,1164,,
"Pesca (156)",45,,,,,,40,,,5,,
"Explotación de minas y canteras (157)",2,,,,,,,2,,,,
"Industrias manufactureras (158)",101,,2,6,3,,,79,1,10,,
"Suministro de electricidad, gas y agua (159)",8,,,,,,,1,2,5,,
"Construcción (160)",57,,,3,,,,1,43,10,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",192,,,9,1,66,,34,5,77,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",42,,,1,,4,,31,5,1,,
"Comercio al por mayor (163)",55,,,3,1,8,,,,43,,
"Comercio al por menor (164)",95,,,5,,54,,3,,33,,
"Hoteles y restaurantes (165)",9,,1,1,,5,,,,2,,
"Trans., almac. y comunicaciones (166)",263,,,3,2,,,,210,48,,
"Intermediación financiera (167)",1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (168)",66,,4,3,5,33,,1,4,16,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",48,6,2,,15,4,,,2,11,8,
"Enseñanza (170)",64,6,45,,4,,,,,9,,
"Servicios sociales y de salud (171)",8,,2,4,,,,,1,1,,
"Otras activ. serv.comun.soc y personales (172)",27,,3,2,1,1,,1,3,16,,
"Hogares privados con servicio doméstico (173)",3,,,,,,,,,3,,
"Actividad economica no especificada (175)",16,,,1,,,,,,,,15
"Mujeres (176)",559,1,124,18,45,102,15,43,4,193,,14
"Agric., ganadería, caza y silvicultura (177)",45,,,,1,,15,,,29,,
"Pesca (178)",2,,,,,,,,,2,,
"Industrias manufactureras (180)",50,,,,2,,,43,1,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",118,,,5,,75,,,,38,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",5,,,2,,3,,,,,,
"Comercio al por mayor (185)",21,,,,,8,,,,13,,
"Comercio al por menor (186)",92,,,3,,64,,,,25,,
"Hoteles y restaurantes (187)",47,,1,1,2,22,,,,21,,
"Trans., almac. y comunicaciones (188)",9,,1,,3,,,,2,3,,
"Intermediación financiera (189)",3,,,2,1,,,,,,,
"Activid.inmobil., empres. y alquileres (190)",16,,,2,8,,,,1,5,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",28,,1,2,19,,,,,6,,
"Enseñanza (192)",124,1,116,,3,,,,,4,,
"Servicios sociales y de salud (193)",14,,4,4,3,1,,,,2,,
"Otras activ. serv.comun.soc y personales (194)",16,,1,2,1,4,,,,8,,
"Hogares privados con servicio doméstico (195)",71,,,,,,,,,71,,
"Actividad economica no especificada (197)",16,,,,2,,,,,,,14
