"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YAROWILCA (000)",9886,593,2817,2958,2516,1002
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",31,,5,12,13,1
"Profes., científicos e intelectuales (002)",434,,88,243,100,3
"Técnicos de nivel medio y trab.asimilados (003)",65,,29,23,13,
"Jefes y empleados de oficina (004)",41,,7,22,12,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",340,3,133,124,62,18
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4388,,830,1438,1420,700
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",102,1,41,26,25,9
"Obreros construc., conf., papel, fab., instr. (008)",156,,49,67,38,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3770,582,1377,859,725,227
"Otra (010)",24,,12,11,1,
"Ocupación no especificada (011)",259,,87,70,70,32
"Desocupado (012)",276,7,159,63,37,10
"Hombres (013)",6573,332,1839,1986,1700,716
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,,2,12,10,1
"Profes., científicos e intelectuales (015)",287,,57,156,71,3
"Técnicos de nivel medio y trab.asimilados (016)",51,,23,18,10,
"Jefes y empleados de oficina (017)",29,,4,17,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",108,1,50,31,19,7
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3657,,688,1205,1176,588
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",87,,33,24,23,7
"Obreros construc., conf., papel, fab., instr. (021)",156,,49,67,38,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1866,326,782,370,292,96
"Otra (023)",24,,12,11,1,
"Ocupación no especificada (024)",72,,28,21,20,3
"Desocupado (025)",211,5,111,54,32,9
"Mujeres (026)",3313,261,978,972,816,286
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,3,,3,
"Profes., científicos e intelectuales (028)",147,,31,87,29,
"Técnicos de nivel medio y trab.asimilados (029)",14,,6,5,3,
"Jefes y empleados de oficina (030)",12,,3,5,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",232,2,83,93,43,11
"Agricult.trabaj. calif. agrop. y pesqueros (032)",731,,142,233,244,112
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",15,1,8,2,2,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",1904,256,595,489,433,131
