"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia QUISPICANCHI (000)",24897,8337,16560
"Casa independiente (001)",22065,8169,13896
"Departamento en edificio (002)",23,23,
"Vivienda en quinta (003)",33,33,
"Vivienda en casa de vecindad (004)",70,70,
"Choza o cabaña (005)",2617,,2617
"Vivienda improvisada (006)",27,27,
"Local no dest.para hab. humana (007)",23,14,9
"Otro tipo (008)",39,1,38
