"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ICA (000)",129702,38602,43904,38839,2173,3263,2921
"Conviviente (001)",36348,7165,15953,11441,517,747,525
"Separado(a) (002)",6619,1644,2443,2084,97,53,298
"Casado(a) (003)",43251,15675,10852,14162,989,1085,488
"Viudo(a) (004)",2275,441,611,1033,44,52,94
"Divorciado(a) (005)",944,424,138,329,26,8,19
"Soltero(a) (006)",40265,13253,13907,9790,500,1318,1497
"Hombres (008)",80637,21227,29807,26525,1514,1352,212
"Conviviente (009)",24254,4585,10680,8375,365,211,38
"Separado(a) (010)",2352,546,852,897,33,17,7
"Casado(a) (011)",27829,9493,7588,9712,746,267,23
"Viudo(a) (012)",921,148,296,432,19,24,2
"Divorciado(a) (013)",471,171,92,182,21,3,2
"Soltero(a) (014)",24810,6284,10299,6927,330,830,140
"Mujeres (016)",49065,17375,14097,12314,659,1911,2709
"Conviviente (017)",12094,2580,5273,3066,152,536,487
"Separado(a) (018)",4267,1098,1591,1187,64,36,291
"Casado(a) (019)",15422,6182,3264,4450,243,818,465
"Viudo(a) (020)",1354,293,315,601,25,28,92
"Divorciado(a) (021)",473,253,46,147,5,5,17
"Soltero(a) (022)",15455,6969,3608,2863,170,488,1357
,,,,,,,
"URBANA (024)",118274,37329,36464,36693,2052,2970,2766
"Conviviente (025)",32583,6874,13246,10783,483,699,498
"Separado(a) (026)",6091,1584,2090,1996,95,48,278
"Casado(a) (027)",39824,15217,8915,13300,935,993,464
"Viudo(a) (028)",2070,425,511,960,41,49,84
"Divorciado(a) (029)",911,422,122,316,25,8,18
"Soltero(a) (030)",36795,12807,11580,9338,473,1173,1424
"Hombres (032)",72704,20442,24626,24856,1410,1169,201
"Conviviente (033)",21579,4375,8800,7841,337,192,34
"Separado(a) (034)",2150,525,722,851,31,15,6
"Casado(a) (035)",25341,9157,6225,9015,697,225,22
"Viudo(a) (036)",814,140,249,386,16,21,2
"Divorciado(a) (037)",450,170,81,175,20,3,1
"Soltero(a) (038)",22370,6075,8549,6588,309,713,136
"Mujeres (040)",45570,16887,11838,11837,642,1801,2565
"Conviviente (041)",11004,2499,4446,2942,146,507,464
"Separado(a) (042)",3941,1059,1368,1145,64,33,272
"Casado(a) (043)",14483,6060,2690,4285,238,768,442
"Viudo(a) (044)",1256,285,262,574,25,28,82
"Divorciado(a) (045)",461,252,41,141,5,5,17
"Soltero(a) (046)",14425,6732,3031,2750,164,460,1288
,,,,,,,
"RURAL (048)",11428,1273,7440,2146,121,293,155
"Conviviente (049)",3765,291,2707,658,34,48,27
"Separado(a) (050)",528,60,353,88,2,5,20
"Casado(a) (051)",3427,458,1937,862,54,92,24
"Viudo(a) (052)",205,16,100,73,3,3,10
"Divorciado(a) (053)",33,2,16,13,1,,1
"Soltero(a) (054)",3470,446,2327,452,27,145,73
"Hombres (056)",7933,785,5181,1669,104,183,11
"Conviviente (057)",2675,210,1880,534,28,19,4
"Separado(a) (058)",202,21,130,46,2,2,1
"Casado(a) (059)",2488,336,1363,697,49,42,1
"Viudo(a) (060)",107,8,47,46,3,3,
"Divorciado(a) (061)",21,1,11,7,1,,1
"Soltero(a) (062)",2440,209,1750,339,21,117,4
"Mujeres (064)",3495,488,2259,477,17,110,144
"Conviviente (065)",1090,81,827,124,6,29,23
"Separado(a) (066)",326,39,223,42,,3,19
"Casado(a) (067)",939,122,574,165,5,50,23
"Viudo(a) (068)",98,8,53,27,,,10
"Divorciado(a) (069)",12,1,5,6,,,
"Soltero(a) (070)",1030,237,577,113,6,28,69
