"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia OCROS (000)",4480,1841,122,216,2145,49,2,12,,93
"Hombres (001)",1546,945,85,132,283,22,1,10,,68
"Mujeres (002)",2934,896,37,84,1862,27,1,2,,25
"De 06 a 14 años (003)",1439,1380,,,34,13,,1,,11
"Hombres (004)",735,705,,,18,6,,1,,5
"Mujeres (005)",704,675,,,16,7,,,,6
"De 15 a 29 años (006)",1011,451,,25,514,,1,3,,17
"Hombres (007)",338,233,,11,75,,1,2,,16
"Mujeres (008)",673,218,,14,439,,,1,,1
"De 30 a 44 años (009)",577,8,1,33,513,,1,1,,20
"Hombres (010)",101,5,1,20,60,,,,,15
"Mujeres (011)",476,3,,13,453,,1,1,,5
"De 45 a 64 años (012)",700,2,37,47,587,,,1,,26
"Hombres (013)",141,2,26,31,60,,,1,,21
"Mujeres (014)",559,,11,16,527,,,,,5
"De 65 y más años (015)",753,,84,111,497,36,,6,,19
"Hombres (016)",231,,58,70,70,16,,6,,11
"Mujeres (017)",522,,26,41,427,20,,,,8
,,,,,,,,,,
"AREA URBANA (018)",2531,1030,95,133,1182,26,2,7,,56
"Hombres (019)",891,543,62,81,146,10,1,6,,42
"Mujeres (020)",1640,487,33,52,1036,16,1,1,,14
"De 06 a 14 años (021)",782,753,,,20,4,,1,,4
"Hombres (022)",411,397,,,9,1,,1,,3
"Mujeres (023)",371,356,,,11,3,,,,1
"De 15 a 29 años (024)",548,271,,12,254,,1,1,,9
"Hombres (025)",198,140,,5,42,,1,1,,9
"Mujeres (026)",350,131,,7,212,,,,,
"De 30 a 44 años (027)",307,4,1,15,274,,1,1,,11
"Hombres (028)",46,4,1,7,27,,,,,7
"Mujeres (029)",261,,,8,247,,1,1,,4
"De 45 a 64 años (030)",391,2,29,26,312,,,1,,21
"Hombres (031)",81,2,19,18,25,,,1,,16
"Mujeres (032)",310,,10,8,287,,,,,5
"De 65 y más años (033)",503,,65,80,322,22,,3,,11
"Hombres (034)",155,,42,51,43,9,,3,,7
"Mujeres (035)",348,,23,29,279,13,,,,4
,,,,,,,,,,
"AREA RURAL (036)",1949,811,27,83,963,23,,5,,37
"Hombres (037)",655,402,23,51,137,12,,4,,26
"Mujeres (038)",1294,409,4,32,826,11,,1,,11
"De 06 a 14 años (039)",657,627,,,14,9,,,,7
"Hombres (040)",324,308,,,9,5,,,,2
"Mujeres (041)",333,319,,,5,4,,,,5
"De 15 a 29 años (042)",463,180,,13,260,,,2,,8
"Hombres (043)",140,93,,6,33,,,1,,7
"Mujeres (044)",323,87,,7,227,,,1,,1
"De 30 a 44 años (045)",270,4,,18,239,,,,,9
"Hombres (046)",55,1,,13,33,,,,,8
"Mujeres (047)",215,3,,5,206,,,,,1
"De 45 a 64 años (048)",309,,8,21,275,,,,,5
"Hombres (049)",60,,7,13,35,,,,,5
"Mujeres (050)",249,,1,8,240,,,,,
"De 65 y más años (051)",250,,19,31,175,14,,3,,8
"Hombres (052)",76,,16,19,27,7,,3,,4
"Mujeres (053)",174,,3,12,148,7,,,,4
