"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAJABAMBA (000)",68615,3743,9188,9715,7218,10850,8848,13639,5414
"Sin nivel (001)",13861,3743,1582,185,290,901,1137,3207,2816
"Educación inicial (002)",1878,,1786,36,9,20,27,,
"Primaria (003)",39601,,5820,7824,3557,6382,5452,8211,2355
"Secundaria (004)",9318,,,1670,3136,2112,1107,1155,138
"Superior no univ. incompleto (005)",1024,,,,182,527,183,121,11
"Superior no univ. completo (006)",1977,,,,,631,702,581,63
"Superior univ. incompleto (007)",279,,,,44,130,46,57,2
"Superior univ. completo (008)",677,,,,,147,194,307,29
"Hombres (010)",33781,1922,4679,5065,3657,5271,4255,6424,2508
"Sin nivel (011)",4874,1922,795,68,104,253,299,654,779
"Educación inicial (012)",965,,920,21,6,7,11,,
"Primaria (013)",20606,,2964,4052,1712,3082,2721,4485,1590
"Secundaria (014)",5412,,,924,1751,1261,685,711,80
"Superior no univ. incompleto (015)",484,,,,65,252,87,72,8
"Superior no univ. completo (016)",909,,,,,274,316,289,30
"Superior univ. incompleto (017)",144,,,,19,60,28,37,
"Superior univ. completo (018)",387,,,,,82,108,176,21
"Mujeres (020)",34834,1821,4509,4650,3561,5579,4593,7215,2906
"Sin nivel (021)",8987,1821,787,117,186,648,838,2553,2037
"Educación inicial (022)",913,,866,15,3,13,16,,
"Primaria (023)",18995,,2856,3772,1845,3300,2731,3726,765
"Secundaria (024)",3906,,,746,1385,851,422,444,58
"Superior no univ. incompleto (025)",540,,,,117,275,96,49,3
"Superior no univ. completo (026)",1068,,,,,357,386,292,33
"Superior univ. incompleto (027)",135,,,,25,70,18,20,2
"Superior univ. completo (028)",290,,,,,65,86,131,8
,,,,,,,,,
"URBANA (030)",17126,754,1913,2215,1890,2869,2404,3761,1320
"Sin nivel (031)",1983,754,129,19,33,82,106,426,434
"Educación inicial (032)",563,,528,16,2,8,9,,
"Primaria (033)",6902,,1256,1403,317,735,801,1706,684
"Secundaria (034)",4383,,,777,1370,897,540,692,107
"Superior no univ. incompleto (035)",771,,,,136,391,142,92,10
