"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,1096,16,3380,4865,484,531,428,1513
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",15,,,2,2,,1,1,9
"Profes., científicos e intelectuales (002)",1113,,,,16,45,99,40,913
"Técnicos de nivel medio ytrab.asimilados (003)",170,,,5,32,17,62,16,38
"Jefes y empleados de oficina (004)",199,,,,48,13,41,12,85
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",918,53,1,179,427,51,54,72,81
"Agricult.trabaj. calif.agrop. y pesquros (006)",4096,558,7,1560,1676,84,54,52,105
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",364,17,,53,189,28,36,11,30
"Obreros. construc., conf., papel, fab., instr (008)",438,7,,47,238,33,33,42,38
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",4231,359,8,1350,1966,180,107,138,123
"Otra (010)",23,,,,5,,8,9,1
"Ocupación no especificada (011)",746,102,,184,266,33,36,35,90
"Hombres (012)",9096,643,11,2543,3888,345,365,288,1013
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",13,,,2,1,,1,1,8
"Profes., científicos e intelectuales (014)",692,,,,12,27,57,21,575
"Técnicos de nivel medio ytrab.asimilados (015)",117,,,4,28,14,36,11,24
"Jefes y empleados de oficina (016)",121,,,,32,10,24,9,46
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",411,10,,62,212,26,26,33,42
"Agricult.trabaj. calif.agrop. y pesquros (018)",3639,401,7,1411,1558,69,51,44,98
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",314,10,,43,166,24,35,8,28
"Obreros. construc., conf., papel, fab., instr (020)",427,6,,46,234,33,32,41,35
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2965,183,4,901,1479,127,76,93,102
"Otra (022)",22,,,,5,,8,8,1
"Ocupación no especificada (023)",375,33,,74,161,15,19,19,54
"Mujeres (024)",3217,453,5,837,977,139,166,140,500
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",2,,,,1,,,,1
"Profes., científicos e intelectuales (026)",421,,,,4,18,42,19,338
"Técnicos de nivel medio ytrab.asimilados (027)",53,,,1,4,3,26,5,14
"Jefes y empleados de oficina (028)",78,,,,16,3,17,3,39
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",507,43,1,117,215,25,28,39,39
"Agricult.trabaj. calif.agrop. y pesquros (030)",457,157,,149,118,15,3,8,7
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",50,7,,10,23,4,1,3,2
"Obreros. construc., conf., papel, fab., instr (032)",11,1,,1,4,,1,1,3
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1266,176,4,449,487,53,31,45,21
"Otra (034)",1,,,,,,,1,
"Ocupación no especificada (035)",371,69,,110,105,18,17,16,36
,,,,,,,,,
"URBANA (036)",7842,642,12,1915,2980,325,416,321,1231
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",14,,,1,2,,1,1,9
"Profes., científicos e intelectuales (038)",936,,,,14,34,85,33,770
