"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,8055,2330,850,769,748,1256,1031,656,415,266,26976
"De 12 a 14 años (001)",917,903,903,,,,,,,,14,
"De 15 a 19 años (002)",1158,1140,1004,125,11,,,,,,18,147
"De 20 a 24 años (003)",902,795,235,304,175,58,18,5,,,107,938
"De 25 a 29 años (004)",704,656,48,170,182,146,96,11,3,,48,1472
"De 30 a 34 años (005)",711,689,26,74,148,160,191,75,14,1,22,2289
"De 35 a 39 años (006)",610,594,8,33,67,113,209,106,39,19,16,2637
"De 40 a 44 años (007)",548,542,14,21,31,71,155,155,69,26,6,2863
"De 45 a 49 años (008)",512,511,10,20,20,44,114,136,106,61,1,3141
"De 50 y más años (009)",2259,2225,82,103,135,156,473,543,425,308,34,13489
"Conviviente (010)",2323,2261,108,451,407,361,465,268,132,69,62,7969
"De 12 a 14 años (011)",13,1,1,,,,,,,,12,
"De 15 a 19 años (012)",143,128,34,84,10,,,,,,15,104
"De 20 a 24 años (013)",435,413,23,207,127,40,13,3,,,22,658
"De 25 a 29 años (014)",408,401,14,100,120,94,68,4,1,,7,939
"De 30 a 34 años (015)",365,362,5,31,81,96,106,36,7,,3,1228
"De 35 a 39 años (016)",270,270,3,8,31,61,114,33,15,5,,1142
"De 40 a 44 años (017)",201,201,8,4,8,30,53,64,28,6,,1062
"De 45 a 49 años (018)",136,136,4,5,7,10,30,40,26,14,,807
"De 50 y más años (019)",352,349,16,12,23,30,81,88,55,44,3,2029
"Separado(a) (020)",394,390,2,152,78,66,48,28,12,4,4,1042
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",25,25,,25,,,,,,,,25
"De 20 a 24 años (023)",59,57,,43,11,2,1,,,,2,75
"De 25 a 29 años (024)",51,51,,29,13,8,1,,,,,83
