"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL CACERES (000)",43756,10676,13518,10432,6833,2297
"Sin nivel (001)",2163,274,306,499,642,442
"Educación inicial (002)",597,566,20,11,,
"Primaria (003)",22583,7883,4668,4798,3691,1543
"Secundaria (004)",14035,1953,6903,3303,1682,194
"Superior no univ. incompleta (005)",1169,,639,362,150,18
"Superior no univ. completa (006)",1578,,449,764,305,60
"Superior univ. incompleta (007)",593,,297,188,100,8
"Superior univ. completa (008)",1038,,236,507,263,32
"PEA (010)",20852,733,7117,7346,4701,955
"Sin nivel (011)",825,37,123,243,290,132
"Educación inicial (012)",23,10,9,4,,
"Primaria (013)",9444,497,2674,3101,2480,692
"Secundaria (014)",7242,189,3274,2423,1260,96
"Superior no univ. incompleta (015)",767,,351,287,122,7
"Superior no univ. completa (016)",1285,,359,671,240,15
"Superior univ. incompleta (017)",410,,149,171,87,3
"Superior univ. completa (018)",856,,178,446,222,10
"Ocupada (020)",20469,717,6917,7243,4647,945
"Sin nivel (021)",812,36,121,236,288,131
"Educación inicial (022)",23,10,9,4,,
"Primaria (023)",9307,487,2614,3064,2456,686
"Secundaria (024)",7064,184,3162,2386,1238,94
"Superior no univ. incompleta (025)",747,,342,278,121,6
"Superior no univ. completa (026)",1267,,345,668,239,15
"Superior univ. incompleta (027)",407,,147,171,86,3
"Superior univ. completa (028)",842,,177,436,219,10
"Desocupada (030)",383,16,200,103,54,10
