"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUALGAYOC (000)",22345,88199,4937,19077,17408,69122
"Casa independiente (001)",21609,85654,4574,17991,17035,67663
"Departamento en edificio (002)",76,179,76,179,,
"Vivienda en quinta (003)",97,331,97,331,,
"Vivienda en casa de vecindad (004)",186,562,186,562,,
"Choza o cabaña (005)",373,1459,,,373,1459
"Vivienda improvisada (006)",1,3,1,3,,
"Local no dest.para hab. humana (007)",2,7,2,7,,
"Otro tipo (008)",1,4,1,4,,
