"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",13962,98,294,799,1339,2478,5741,3213
"De 12 a 14 años (001)",18,,,,,,3,15
"De 15 a 19 años (002)",460,,,,,,268,192
"De 20 a 24 años (003)",1554,,,,,2,1048,504
"De 25 a 29 años (004)",1672,,,,,43,1230,399
"De 30 a 34 años (005)",1670,,,,,192,1148,330
"De 35 a 39 años (006)",1671,,,,8,374,1041,248
"De 40 a 44 años (007)",1329,,,,43,475,611,200
"De 45 a 49 años (008)",1134,,,4,112,516,335,167
"De 50 y más años (009)",4454,98,294,795,1176,876,57,1158
"Sin nivel (010)",4552,70,206,529,712,780,1121,1134
"De 15 a 19 años (012)",43,,,,,,23,20
"De 20 a 24 años (013)",154,,,,,,102,52
"De 25 a 29 años (014)",196,,,,,7,154,35
"De 30 a 34 años (015)",352,,,,,40,258,54
"De 35 a 39 años (016)",408,,,,1,74,263,70
"De 40 a 44 años (017)",335,,,,11,99,174,51
"De 45 a 49 años (018)",336,,,2,18,143,121,52
"De 50 y más años (019)",2728,70,206,527,682,417,26,800
"Educacion Inicial (020)",7,,,,,,5,2
"De 15 a 19 años (022)",1,,,,,,,1
"De 25 a 29 años (024)",3,,,,,,3,
"De 35 a 39 años (026)",3,,,,,,2,1
"Primaria (030)",6371,26,76,215,492,1232,3120,1210
"De 12 a 14 años (031)",15,,,,,,2,13
"De 15 a 19 años (032)",265,,,,,,161,104
"De 20 a 24 años (033)",841,,,,,,604,237
"De 25 a 29 años (034)",908,,,,,23,709,176
"De 30 a 34 años (035)",818,,,,,90,594,134
"De 35 a 39 años (036)",827,,,,6,187,537,97
"De 40 a 44 años (037)",682,,,,23,259,313,87
"De 45 a 49 años (038)",582,,,1,61,272,172,76
"De 50 y más años (039)",1433,26,76,214,402,401,28,286
"Secundaria (040)",1602,,7,19,76,234,851,415
"De 12 a 14 años (041)",3,,,,,,1,2
"De 15 a 19 años (042)",135,,,,,,76,59
"De 20 a 24 años (043)",345,,,,,1,233,111
"De 25 a 29 años (044)",295,,,,,7,204,84
"De 30 a 34 años (045)",226,,,,,37,138,51
"De 35 a 39 años (046)",205,,,,1,58,115,31
"De 40 a 44 años (047)",149,,,,6,57,61,25
"De 45 a 49 años (048)",97,,,,18,44,20,15
"De 50 y más años (049)",147,,7,19,51,30,3,37
"Sup. no Univ. incompleta (050)",344,1,,8,11,39,180,105
"De 15 a 19 años (052)",13,,,,,,7,6
"De 20 a 24 años (053)",93,,,,,1,51,41
"De 25 a 29 años (054)",75,,,,,1,47,27
