"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia JUNIN (000)",8257,66,257,574,985,1799,2445,2131
"De 12 a 14 años (001)",10,,,,,,,10
"De 15 a 19 años (002)",141,,,,,,86,55
"De 20 a 24 años (003)",720,,,,,,412,308
"De 25 a 29 años (004)",805,,,,,31,514,260
"De 30 a 34 años (005)",856,,,,,139,503,214
"De 35 a 39 años (006)",971,,,,14,314,456,187
"De 40 a 44 años (007)",906,,,,52,391,289,174
"De 45 a 49 años (008)",809,,,5,110,400,150,144
"De 50 y más años (009)",3039,66,257,569,809,524,35,779
"Conviviente (010)",2334,2,8,22,91,414,1310,487
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",95,,,,,,56,39
"De 20 a 24 años (013)",380,,,,,,286,94
"De 25 a 29 años (014)",440,,,,,15,331,94
"De 30 a 34 años (015)",414,,,,,58,288,68
"De 35 a 39 años (016)",370,,,,6,99,201,64
"De 40 a 44 años (017)",276,,,,10,111,105,50
"De 45 a 49 años (018)",152,,,,19,69,37,27
"De 50 y más años (019)",204,2,8,22,56,62,6,48
"Separado(a) (020)",512,1,12,21,51,139,147,141
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",9,,,,,,5,4
"De 20 a 24 años (023)",41,,,,,,27,14
"De 25 a 29 años (024)",47,,,,,4,27,16
"De 30 a 34 años (025)",60,,,,,15,31,14
"De 35 a 39 años (026)",81,,,,2,33,28,18
"De 40 a 44 años (027)",78,,,,6,36,17,19
"De 45 a 49 años (028)",61,,,,15,25,12,9
"De 50 y más años (029)",134,1,12,21,28,26,,46
"Casado(a) (030)",3245,11,79,281,581,961,724,608
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",10,,,,,,3,7
"De 20 a 24 años (033)",52,,,,,,34,18
"De 25 a 29 años (034)",153,,,,,9,106,38
"De 30 a 34 años (035)",234,,,,,42,143,49
"De 35 a 39 años (036)",369,,,,1,125,187,56
"De 40 a 44 años (037)",409,,,,21,193,142,53
"De 45 a 49 años (038)",438,,,3,48,242,85,60
"De 50 y más años (039)",1577,11,79,278,511,350,24,324
"Viudo(a) (040)",1083,45,136,214,187,155,47,299
"De 15 a 19 años (042)",1,,,,,,1,
"De 20 a 24 años (043)",5,,,,,,4,1
"De 25 a 29 años (044)",2,,,,,1,1,
"De 30 a 34 años (045)",15,,,,,6,5,4
"De 35 a 39 años (046)",27,,,,,16,6,5
"De 40 a 44 años (047)",54,,,,6,27,12,9
"De 45 a 49 años (048)",71,,,,9,36,13,13
"De 50 y más años (049)",908,45,136,214,172,69,5,267
"Divorciado(a) (050)",40,,4,6,10,8,5,7
