"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PACASMAYO (000)",26737,24258,2479
"Casa independiente (001)",26127,23669,2458
"Departamento en edificio (002)",90,90,
"Vivienda en quinta (003)",289,289,
"Vivienda en casa de vecindad (004)",145,145,
"Choza o cabaña (005)",21,,21
"Vivienda improvisada (006)",29,29,
"Local no dest.para hab. humana (007)",35,35,
"Otro tipo (008)",1,1,
