"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ACOMAYO (000)",7746,679,1064,4038,195,1443,69,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,32,,,1,,,
"Profes., científicos e intelectuales (002)",382,332,,47,1,2,,
"Técnicos de nivel medio y trab. asimilados (003)",87,60,,26,1,,,
"Jefes y empleados de oficina (004)",80,78,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",401,49,7,286,6,53,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3429,,3,3256,170,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",179,,58,106,3,12,,
"Obreros construc.,conf.,papel, fab., instr. (008)",316,17,185,98,6,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",2263,53,768,89,,1284,69,
"Otra (010)",29,29,,,,,,
"Ocupación no especificada (011)",289,29,43,129,7,81,,
"Desocupado (012)",258,,,,,,,258
"Hombres (013)",5208,412,892,3011,141,536,17,199
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",28,28,,,,,,
"Profes., científicos e intelectuales (015)",223,195,,26,1,1,,
"Técnicos de nivel medio y trab. asimilados (016)",50,31,,18,1,,,
"Jefes y empleados de oficina (017)",47,47,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",129,24,,93,4,8,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2743,,2,2618,123,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",153,,54,85,3,11,,
"Obreros construc.,conf.,papel, fab., instr. (021)",306,17,179,94,6,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1194,26,627,35,,489,17,
"Otra (023)",29,29,,,,,,
"Ocupación no especificada (024)",107,15,30,42,3,17,,
"Desocupado (025)",199,,,,,,,199
"Mujeres (026)",2538,267,172,1027,54,907,52,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,4,,,1,,,
"Profes., científicos e intelectuales (028)",159,137,,21,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",37,29,,8,,,,
"Jefes y empleados de oficina (030)",33,31,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",272,25,7,193,2,45,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",686,,1,638,47,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",26,,4,21,,1,,
"Obreros construc.,conf.,papel, fab., instr. (034)",10,,6,4,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1069,27,141,54,,795,52,
"Ocupación no especificada (037)",182,14,13,87,4,64,,
"Desocupado (038)",59,,,,,,,59
,,,,,,,,
"URBANA (039)",4547,561,629,2235,102,822,41,157
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",29,28,,,1,,,
"Profes., científicos e intelectuales (041)",316,276,,37,1,2,,
"Técnicos de nivel medio y trab. asimilados (042)",69,49,,19,1,,,
"Jefes y empleados de oficina (043)",71,70,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",310,32,5,229,3,41,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1752,,2,1663,87,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",110,,34,68,2,6,,
"Obreros construc.,conf.,papel, fab., instr. (047)",231,14,138,68,2,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",1274,36,416,64,,717,41,
"Otra (049)",29,29,,,,,,
"Ocupación no especificada (050)",199,27,34,87,5,46,,
"Desocupado (051)",157,,,,,,,157
"Hombres (052)",2889,340,501,1541,67,312,10,118
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",25,25,,,,,,
"Profes., científicos e intelectuales (054)",176,156,,18,1,1,,
"Técnicos de nivel medio y trab. asimilados (055)",35,21,,13,1,,,
"Jefes y empleados de oficina (056)",42,42,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",102,18,,75,2,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1335,,1,1277,57,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",93,,32,53,2,6,,
"Obreros construc.,conf.,papel, fab., instr. (060)",223,14,134,64,2,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",649,21,313,21,,284,10,
"Otra (062)",29,29,,,,,,
"Ocupación no especificada (063)",62,14,21,20,2,5,,
"Desocupado (064)",118,,,,,,,118
"Mujeres (065)",1658,221,128,694,35,510,31,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,3,,,1,,,
"Profes., científicos e intelectuales (067)",140,120,,19,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",34,28,,6,,,,
"Jefes y empleados de oficina (069)",29,28,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",208,14,5,154,1,34,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",417,,1,386,30,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",17,,2,15,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",8,,4,4,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",625,15,103,43,,433,31,
"Ocupación no especificada (076)",137,13,13,67,3,41,,
"Desocupado (077)",39,,,,,,,39
,,,,,,,,
"RURAL (078)",3199,118,435,1803,93,621,28,101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",4,4,,,,,,
"Profes., científicos e intelectuales (080)",66,56,,10,,,,
"Técnicos de nivel medio y trab. asimilados (081)",18,11,,7,,,,
"Jefes y empleados de oficina (082)",9,8,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",91,17,2,57,3,12,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1677,,1,1593,83,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",69,,24,38,1,6,,
"Obreros construc.,conf.,papel, fab., instr. (086)",85,3,47,30,4,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",989,17,352,25,,567,28,
"Ocupación no especificada (089)",90,2,9,42,2,35,,
"Desocupado (090)",101,,,,,,,101
"Hombres (091)",2319,72,391,1470,74,224,7,81
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",47,39,,8,,,,
"Técnicos de nivel medio y trab. asimilados (094)",15,10,,5,,,,
"Jefes y empleados de oficina (095)",5,5,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",27,6,,18,2,1,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1408,,1,1341,66,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",60,,22,32,1,5,,
"Obreros construc.,conf.,papel, fab., instr. (099)",83,3,45,30,4,1,,
