"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia BONGARA (000)",9923,42,546,201,161,962,3884,353,671,2726,75,302
"Agric., ganadería, caza y silvicultura (001)",5880,,6,5,1,,3882,,4,1982,,
"Pesca (002)",8,,,,,,2,,,6,,
"Explotación de minas y canteras (003)",67,,9,2,4,,,30,12,10,,
"Industrias manufactureras (004)",272,1,3,5,1,1,,247,7,7,,
"Suministro de electricidad, gas y agua (005)",6,,,,,,,1,3,2,,
"Construcción (006)",410,1,15,17,6,,,14,235,122,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1058,,2,19,1,780,,57,7,192,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",75,,1,1,1,20,,47,5,,,
"Comercio al por mayor (009)",58,,,2,,52,,,1,3,,
"Comercio al por menor (010)",925,,1,16,,708,,10,1,189,,
"Hoteles y restaurantes (011)",197,,1,3,,135,,,,58,,
"Trans., almac. y comunicaciones (012)",439,,2,6,12,,,1,384,34,,
"Intermediación financiera (013)",5,,1,,4,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",181,,27,47,35,31,,1,7,33,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",246,36,13,14,65,5,,1,11,26,75,
"Enseñanza (016)",425,4,404,,11,,,,,6,,
"Servicios sociales y de salud (017)",110,,49,58,,2,,,,1,,
"Otras activ. serv.comun.soc y personales (018)",120,,13,24,6,8,,1,1,67,,
"Hogares privados con servicio doméstico (019)",180,,,,,,,,,180,,
"Actividad economica no especificada (021)",319,,1,1,15,,,,,,,302
"Hombres (022)",7413,29,265,140,90,423,3509,290,664,1821,72,110
"Agric., ganadería, caza y silvicultura (023)",4967,,6,5,1,,3507,,4,1444,,
"Pesca (024)",8,,,,,,2,,,6,,
"Explotación de minas y canteras (025)",60,,6,2,2,,,30,12,8,,
"Industrias manufactureras (026)",204,1,3,3,1,,,185,6,5,,
"Suministro de electricidad, gas y agua (027)",6,,,,,,,1,3,2,,
"Construcción (028)",402,1,12,17,5,,,14,232,121,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",552,,2,13,1,366,,56,7,107,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,,1,1,1,18,,47,5,,,
"Comercio al por mayor (031)",35,,,1,,31,,,1,2,,
"Comercio al por menor (032)",444,,1,11,,317,,9,1,105,,
"Hoteles y restaurantes (033)",36,,,3,,23,,,,10,,
"Trans., almac. y comunicaciones (034)",423,,2,4,5,,,1,381,30,,
