"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ABANCAY (000)",31552,734,9617,11780,7687,1734
"Agric., ganadería, caza y silvicultura (001)",9614,252,2402,3044,2798,1118
"Pesca (002)",11,,1,8,2,
"Explotación de minas y canteras (003)",134,1,62,48,23,
"Industrias manufactureras (004)",1191,34,448,381,259,69
"Suministro de electricidad, gas y agua (005)",86,,18,30,37,1
"Construcción (006)",2163,16,743,873,471,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5312,188,1703,1934,1240,247
"Venta, mant.y rep. veh.autom.y motoc. (008)",409,8,219,117,58,7
"Comercio al por mayor (009)",228,5,102,69,48,4
"Comercio al por menor (010)",4675,175,1382,1748,1134,236
"Hoteles y restaurantes (011)",1566,62,627,463,355,59
"Trans., almac. y comunicaciones (012)",1679,63,823,578,196,19
"Intermediación financiera (013)",161,,85,60,16,
"Activid.inmobil., empres. y alquileres (014)",950,4,353,403,167,23
"Admin.pub. y defensa; p. segur.soc.afil (015)",1985,,478,903,581,23
"Enseñanza (016)",3264,,544,1779,918,23
"Servicios sociales y de salud (017)",1141,,282,607,239,13
"Otras activ. serv.comun.soc y personales (018)",724,38,290,266,111,19
"Hogares privados con servicio doméstico (019)",781,74,504,136,60,7
"Organiz. y organos extraterritoriales (020)",1,,,1,,
"Actividad economica no especificada (021)",789,2,254,266,214,53
"Hombres (022)",20119,493,5958,7274,5066,1328
"Agric., ganadería, caza y silvicultura (023)",8174,200,2042,2583,2362,987
"Pesca (024)",9,,1,6,2,
"Explotación de minas y canteras (025)",124,,56,47,21,
"Industrias manufactureras (026)",907,31,347,286,189,54
"Suministro de electricidad, gas y agua (027)",74,,13,27,33,1
"Construcción (028)",2098,15,717,847,459,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2008,109,763,649,402,85
"Venta, mant.y rep. veh.autom.y motoc. (030)",364,8,194,101,54,7
"Comercio al por mayor (031)",140,5,74,40,20,1
"Comercio al por menor (032)",1504,96,495,508,328,77
"Hoteles y restaurantes (033)",346,24,185,82,47,8
"Trans., almac. y comunicaciones (034)",1475,60,689,527,181,18
"Intermediación financiera (035)",87,,43,33,11,
"Activid.inmobil., empres. y alquileres (036)",698,4,252,295,125,22
"Admin.pub. y defensa; p. segur.soc.afil (037)",1324,,244,628,430,22
"Enseñanza (038)",1561,,232,807,503,19
"Servicios sociales y de salud (039)",422,,79,206,126,11
