"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTUMAZA (000)",9230,7464,697,511,558
"Hombres (001)",7235,5937,535,356,407
"Mujeres (002)",1995,1527,162,155,151
"De 06 a 14 años (003)",178,168,6,3,1
"Hombres (004)",139,129,6,3,1
"Mujeres (005)",39,39,,,
"De 15 a 29 años (006)",2569,2173,187,97,112
"Hombres (007)",2059,1735,162,81,81
"Mujeres (008)",510,438,25,16,31
"De 30 a 44 años (009)",3137,2334,314,235,254
"Hombres (010)",2335,1790,219,149,177
"Mujeres (011)",802,544,95,86,77
"De 45 a 64 años (012)",2529,2015,173,163,178
"Hombres (013)",1987,1608,131,113,135
"Mujeres (014)",542,407,42,50,43
"De 65 y más años (015)",817,774,17,13,13
"Hombres (016)",715,675,17,10,13
"Mujeres (017)",102,99,,3,
,,,,,
"URBANA (018)",4464,3041,518,432,473
"Hombres (019)",2983,1993,374,287,329
"Mujeres (020)",1481,1048,144,145,144
"De 06 a 14 años (021)",39,33,3,3,
"Hombres (022)",27,21,3,3,
"Mujeres (023)",12,12,,,
"De 15 a 29 años (024)",1045,769,120,65,91
"Hombres (025)",725,510,100,52,63
"Mujeres (026)",320,259,20,13,28
"De 30 a 44 años (027)",1698,1026,249,206,217
"Hombres (028)",1047,617,163,124,143
"Mujeres (029)",651,409,86,82,74
"De 45 a 64 años (030)",1372,929,139,148,156
"Hombres (031)",935,619,101,101,114
"Mujeres (032)",437,310,38,47,42
"De 65 y más años (033)",310,284,7,10,9
"Hombres (034)",249,226,7,7,9
"Mujeres (035)",61,58,,3,
,,,,,
"RURAL (036)",4766,4423,179,79,85
"Hombres (037)",4252,3944,161,69,78
"Mujeres (038)",514,479,18,10,7
"De 06 a 14 años (039)",139,135,3,,1
"Hombres (040)",112,108,3,,1
"Mujeres (041)",27,27,,,
"De 15 a 29 años (042)",1524,1404,67,32,21
"Hombres (043)",1334,1225,62,29,18
"Mujeres (044)",190,179,5,3,3
"De 30 a 44 años (045)",1439,1308,65,29,37
"Hombres (046)",1288,1173,56,25,34
"Mujeres (047)",151,135,9,4,3
"De 45 a 64 años (048)",1157,1086,34,15,22
"Hombres (049)",1052,989,30,12,21
"Mujeres (050)",105,97,4,3,1
"De 65 y más años (051)",507,490,10,3,4
"Hombres (052)",466,449,10,3,4
"Mujeres (053)",41,41,,,
