"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia URUBAMBA (000)",42516,6633,7987,8769,6941,4970,7216
"Conviviente (001)",9708,101,1955,4212,2148,796,496
"Separado(a) (002)",866,14,101,234,244,141,132
"Casado(a) (003)",14369,18,183,2333,3813,3389,4633
"Viudo(a) (004)",2064,5,8,37,148,291,1575
"Divorciado(a) (005)",168,,6,23,29,44,66
"Soltero(a) (006)",15341,6495,5734,1930,559,309,314
"Hombres (008)",21676,3337,4237,4459,3524,2614,3505
"Conviviente (009)",4846,46,677,2148,1203,477,295
"Separado(a) (010)",260,8,13,42,79,59,59
"Casado(a) (011)",7234,10,51,962,1854,1820,2537
"Viudo(a) (012)",552,4,2,6,35,70,435
"Divorciado(a) (013)",76,,4,6,12,21,33
"Soltero(a) (014)",8708,3269,3490,1295,341,167,146
"Mujeres (016)",20840,3296,3750,4310,3417,2356,3711
"Conviviente (017)",4862,55,1278,2064,945,319,201
"Separado(a) (018)",606,6,88,192,165,82,73
"Casado(a) (019)",7135,8,132,1371,1959,1569,2096
"Viudo(a) (020)",1512,1,6,31,113,221,1140
"Divorciado(a) (021)",92,,2,17,17,23,33
"Soltero(a) (022)",6633,3226,2244,635,218,142,168
,,,,,,,
"URBANA (024)",21603,2996,4204,5036,3468,2445,3454
"Conviviente (025)",5303,58,999,2357,1191,463,235
"Separado(a) (026)",534,10,52,141,151,91,89
"Casado(a) (027)",6741,10,70,1168,1687,1548,2258
"Viudo(a) (028)",839,1,3,15,66,113,641
"Divorciado(a) (029)",115,,2,16,22,29,46
"Soltero(a) (030)",8071,2917,3078,1339,351,201,185
"Hombres (032)",10992,1484,2151,2592,1777,1272,1716
"Conviviente (033)",2693,25,358,1209,665,283,153
"Separado(a) (034)",159,5,9,27,45,35,38
"Casado(a) (035)",3429,4,18,487,845,826,1249
"Viudo(a) (036)",213,,1,2,12,21,177
"Divorciado(a) (037)",54,,,6,10,13,25
"Soltero(a) (038)",4444,1450,1765,861,200,94,74
"Mujeres (040)",10611,1512,2053,2444,1691,1173,1738
"Conviviente (041)",2610,33,641,1148,526,180,82
"Separado(a) (042)",375,5,43,114,106,56,51
"Casado(a) (043)",3312,6,52,681,842,722,1009
"Viudo(a) (044)",626,1,2,13,54,92,464
"Divorciado(a) (045)",61,,2,10,12,16,21
"Soltero(a) (046)",3627,1467,1313,478,151,107,111
,,,,,,,
"RURAL (048)",20913,3637,3783,3733,3473,2525,3762
"Conviviente (049)",4405,43,956,1855,957,333,261
"Separado(a) (050)",332,4,49,93,93,50,43
"Casado(a) (051)",7628,8,113,1165,2126,1841,2375
"Viudo(a) (052)",1225,4,5,22,82,178,934
"Divorciado(a) (053)",53,,4,7,7,15,20
"Soltero(a) (054)",7270,3578,2656,591,208,108,129
"Hombres (056)",10684,1853,2086,1867,1747,1342,1789
"Conviviente (057)",2153,21,319,939,538,194,142
"Separado(a) (058)",101,3,4,15,34,24,21
"Casado(a) (059)",3805,6,33,475,1009,994,1288
"Viudo(a) (060)",339,4,1,4,23,49,258
"Divorciado(a) (061)",22,,4,,2,8,8
"Soltero(a) (062)",4264,1819,1725,434,141,73,72
"Mujeres (064)",10229,1784,1697,1866,1726,1183,1973
"Conviviente (065)",2252,22,637,916,419,139,119
"Separado(a) (066)",231,1,45,78,59,26,22
"Casado(a) (067)",3823,2,80,690,1117,847,1087
"Viudo(a) (068)",886,,4,18,59,129,676
"Divorciado(a) (069)",31,,,7,5,7,12
"Soltero(a) (070)",3006,1759,931,157,67,35,57
