"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PATAZ (000)",17376,72,281,831,1518,2939,8101,3634
"De 12 a 14 años (001)",28,,,,,,5,23
"De 15 a 19 años (002)",622,,,,,,410,212
"De 20 a 24 años (003)",2054,,,,,6,1459,589
"De 25 a 29 años (004)",2297,,,,,75,1705,517
"De 30 a 34 años (005)",2201,,,,,227,1606,368
"De 35 a 39 años (006)",2154,,,,11,438,1449,256
"De 40 a 44 años (007)",1599,,,,27,489,866,217
"De 45 a 49 años (008)",1382,,,2,103,610,494,173
"De 50 y más años (009)",5039,72,281,829,1377,1094,107,1279
"Sin nivel (010)",6586,56,226,615,945,1138,2196,1410
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",64,,,,,,37,27
"De 20 a 24 años (013)",296,,,,,,218,78
"De 25 a 29 años (014)",415,,,,,7,324,84
"De 30 a 34 años (015)",555,,,,,34,443,78
"De 35 a 39 años (016)",701,,,,3,117,512,69
"De 40 a 44 años (017)",578,,,,11,145,340,82
"De 45 a 49 años (018)",584,,,1,33,227,255,68
"De 50 y más años (019)",3390,56,226,614,898,608,66,922
"Educacion Inicial (020)",35,,,,,2,24,9
"De 15 a 19 años (022)",4,,,,,,2,2
"De 20 a 24 años (023)",4,,,,,,3,1
"De 25 a 29 años (024)",10,,,,,,7,3
"De 30 a 34 años (025)",7,,,,,1,4,2
"De 35 a 39 años (026)",10,,,,,1,8,1
"Primaria (030)",7248,15,45,184,467,1266,4026,1245
"De 12 a 14 años (031)",18,,,,,,2,16
"De 15 a 19 años (032)",345,,,,,,229,116
"De 20 a 24 años (033)",1008,,,,,3,753,252
"De 25 a 29 años (034)",1139,,,,,37,906,196
"De 30 a 34 años (035)",1049,,,,,111,805,133
"De 35 a 39 años (036)",989,,,,4,194,683,108
"De 40 a 44 años (037)",745,,,,14,242,411,78
"De 45 a 49 años (038)",568,,,,45,260,199,64
"De 50 y más años (039)",1387,15,45,184,404,419,38,282
"Secundaria (040)",1956,,2,16,50,259,1148,481
"De 12 a 14 años (041)",7,,,,,,2,5
"De 15 a 19 años (042)",186,,,,,,129,57
"De 20 a 24 años (043)",503,,,,,1,367,135
"De 25 a 29 años (044)",421,,,,,15,289,117
"De 30 a 34 años (045)",283,,,,,45,183,55
"De 35 a 39 años (046)",214,,,,1,63,114,36
"De 40 a 44 años (047)",122,,,,2,52,45,23
"De 45 a 49 años (048)",103,,,,13,55,16,19
"De 50 y más años (049)",117,,2,16,34,28,3,34
"Sup. no Univ. incompleta (050)",370,1,1,4,9,49,192,114
