"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAYTARA (000)",21938,1092,2628,2588,1774,3154,3134,4961,2607
"Sabe leer y escribir (001)",17973,,1894,2555,1751,3042,2936,4108,1687
"No sabe leer y escribir (002)",3965,1092,734,33,23,112,198,853,920
"Hombres (004)",11548,566,1340,1363,905,1705,1799,2648,1222
"Sabe leer y escribir (005)",10142,,972,1347,899,1675,1750,2473,1026
"No sabe leer y escribir (006)",1406,566,368,16,6,30,49,175,196
"Mujeres (008)",10390,526,1288,1225,869,1449,1335,2313,1385
"Sabe leer y escribir (009)",7831,,922,1208,852,1367,1186,1635,661
"No sabe leer y escribir (010)",2559,526,366,17,17,82,149,678,724
,,,,,,,,,
"URBANA (012)",6386,293,720,777,644,978,898,1403,673
"Sabe leer y escribir (013)",5599,,567,775,640,960,874,1276,507
"No sabe leer y escribir (014)",787,293,153,2,4,18,24,127,166
"Hombres (016)",3269,164,355,408,349,503,466,721,303
"Sabe leer y escribir (017)",2942,,271,406,346,495,459,697,268
"No sabe leer y escribir (018)",327,164,84,2,3,8,7,24,35
"Mujeres (020)",3117,129,365,369,295,475,432,682,370
"Sabe leer y escribir (021)",2657,,296,369,294,465,415,579,239
"No sabe leer y escribir (022)",460,129,69,,1,10,17,103,131
,,,,,,,,,
"RURAL (024)",15552,799,1908,1811,1130,2176,2236,3558,1934
"Sabe leer y escribir (025)",12374,,1327,1780,1111,2082,2062,2832,1180
"No sabe leer y escribir (026)",3178,799,581,31,19,94,174,726,754
"Hombres (028)",8279,402,985,955,556,1202,1333,1927,919
"Sabe leer y escribir (029)",7200,,701,941,553,1180,1291,1776,758
"No sabe leer y escribir (030)",1079,402,284,14,3,22,42,151,161
"Mujeres (032)",7273,397,923,856,574,974,903,1631,1015
"Sabe leer y escribir (033)",5174,,626,839,558,902,771,1056,422
"No sabe leer y escribir (034)",2099,397,297,17,16,72,132,575,593
