"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CONDESUYOS (000)",6355,19257,17271,,278,89.7,1.4
"De 12 a 14 años (001)",605,3,3,,,100,
"De 15 a 19 años (002)",703,111,108,29,97.3,26.1,
"De 20 a 24 años (003)",657,630,614,79,97.5,12.5,
"De 25 a 29 años (004)",593,998,970,66,97.2,6.6,
"De 30 a 34 años (005)",544,1379,1314,49,95.3,3.6,
"De 35 a 39 años (006)",564,1845,1762,45,95.5,2.4,
"De 40 a 44 años (007)",510,1941,1811,10,93.3,0.5,
"De 45 a 49 años (008)",402,1865,1719,,92.2,,
"De 50 y más años (009)",1777,10485,8970,,85.6,,
"PEA (010)",2278,7144,6526,81,91.3,1.1,
"De 12 a 14 años (011)",23,,,,,,
"De 15 a 19 años (012)",145,42,41,11,97.6,26.2,
"De 20 a 24 años (013)",242,196,192,22,98,11.2,
"De 25 a 29 años (014)",269,351,343,13,97.7,3.7,
"De 30 a 34 años (015)",253,593,572,16,96.5,2.7,
"De 35 a 39 años (016)",270,777,753,13,96.9,1.7,
"De 40 a 44 años (017)",259,929,863,6,92.9,0.6,
"De 45 a 49 años (018)",203,838,786,,93.8,,
"De 50 y más años (019)",614,3418,2976,,87.1,,
"Ocupada (020)",2226,7022,6413,78,91.3,1.1,
"De 12 a 14 años (021)",21,,,,,,
"De 15 a 19 años (022)",138,40,39,11,97.5,27.5,
"De 20 a 24 años (023)",231,185,181,20,97.8,10.8,
"De 25 a 29 años (024)",262,348,340,13,97.7,3.7,
"De 30 a 34 años (025)",248,575,557,16,96.9,2.8,
"De 35 a 39 años (026)",266,772,748,13,96.9,1.7,
"De 40 a 44 años (027)",252,898,832,5,92.7,0.6,
"De 45 a 49 años (028)",199,817,765,,93.6,,
"De 50 y más años (029)",609,3387,2951,,87.1,,
"Desocupada (030)",52,122,113,3,92.6,2.5,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",7,2,2,,100,,
"De 20 a 24 años (033)",11,11,11,2,100,18.2,
"De 25 a 29 años (034)",7,3,3,,100,,
"De 30 a 34 años (035)",5,18,15,,83.3,,
"De 35 a 39 años (036)",4,5,5,,100,,
"De 40 a 44 años (037)",7,31,31,1,100,3.2,
"De 45 a 49 años (038)",4,21,21,,100,,
