"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCAVELICA (000)",133203,7062,18789,19880,15433,23246,16372,24182,8239
"Sabe leer y escribir (001)",105619,,13611,19770,15287,22519,14733,16737,2962
"No sabe leer y escribir (002)",27584,7062,5178,110,146,727,1639,7445,5277
"Hombres (004)",64819,3569,9421,10216,7562,11137,7709,11509,3696
"Sabe leer y escribir (005)",55172,,6824,10165,7520,11026,7497,9943,2197
"No sabe leer y escribir (006)",9647,3569,2597,51,42,111,212,1566,1499
"Mujeres (008)",68384,3493,9368,9664,7871,12109,8663,12673,4543
"Sabe leer y escribir (009)",50447,,6787,9605,7767,11493,7236,6794,765
"No sabe leer y escribir (010)",17937,3493,2581,59,104,616,1427,5879,3778
,,,,,,,,,
"URBANA (012)",56588,2413,6648,7658,6767,11362,7959,10626,3155
"Sabe leer y escribir (013)",49483,,5371,7624,6746,11267,7707,9103,1665
"No sabe leer y escribir (014)",7105,2413,1277,34,21,95,252,1523,1490
"Hombres (016)",27474,1177,3389,3969,3358,5484,3724,5048,1325
"Sabe leer y escribir (017)",25119,,2714,3954,3353,5472,3686,4864,1076
"No sabe leer y escribir (018)",2355,1177,675,15,5,12,38,184,249
"Mujeres (020)",29114,1236,3259,3689,3409,5878,4235,5578,1830
"Sabe leer y escribir (021)",24364,,2657,3670,3393,5795,4021,4239,589
"No sabe leer y escribir (022)",4750,1236,602,19,16,83,214,1339,1241
,,,,,,,,,
"RURAL (024)",76615,4649,12141,12222,8666,11884,8413,13556,5084
"Sabe leer y escribir (025)",56136,,8240,12146,8541,11252,7026,7634,1297
"No sabe leer y escribir (026)",20479,4649,3901,76,125,632,1387,5922,3787
"Hombres (028)",37345,2392,6032,6247,4204,5653,3985,6461,2371
"Sabe leer y escribir (029)",30053,,4110,6211,4167,5554,3811,5079,1121
"No sabe leer y escribir (030)",7292,2392,1922,36,37,99,174,1382,1250
"Mujeres (032)",39270,2257,6109,5975,4462,6231,4428,7095,2713
"Sabe leer y escribir (033)",26083,,4130,5935,4374,5698,3215,2555,176
"No sabe leer y escribir (034)",13187,2257,1979,40,88,533,1213,4540,2537
