"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ZARUMILLA (000)",15599,11926,1454,805,1414
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,3,4,6,21
"Profes., científicos e intelectuales (002)",813,220,162,241,190
"Técnicos de nivel medio y trab. asimilados (003)",443,222,57,61,103
"Jefes y empleados de oficina (004)",448,122,38,43,245
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2971,2633,199,57,82
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1812,1567,95,58,92
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",703,618,45,13,27
"Obreros construc.,conf.,papel, fab., instr. (008)",1848,1518,145,82,103
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5682,4538,660,224,260
"Otra (010)",268,,,,268
"Ocupación no especificada (011)",577,485,49,20,23
"Hombres (012)",11487,8619,1176,592,1100
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",20,2,2,2,14
"Profes., científicos e intelectuales (014)",375,90,73,118,94
"Técnicos de nivel medio y trab. asimilados (015)",327,161,39,53,74
"Jefes y empleados de oficina (016)",230,63,21,19,127
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1486,1231,138,41,76
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1765,1525,93,55,92
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",603,527,39,11,26
"Obreros construc.,conf.,papel, fab., instr. (020)",1822,1500,142,79,101
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4280,3270,595,203,212
"Otra (022)",263,,,,263
"Ocupación no especificada (023)",316,250,34,11,21
"Mujeres (024)",4112,3307,278,213,314
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",14,1,2,4,7
"Profes., científicos e intelectuales (026)",438,130,89,123,96
"Técnicos de nivel medio y trab. asimilados (027)",116,61,18,8,29
"Jefes y empleados de oficina (028)",218,59,17,24,118
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1485,1402,61,16,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",47,42,2,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",100,91,6,2,1
"Obreros construc.,conf.,papel, fab., instr. (032)",26,18,3,3,2
