"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",42292,5429,58,15344,13484,1068,1937,1234,3738
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",96,,,9,29,9,11,5,33
"Profes., científicos e intelectuales (002)",3989,,,,126,93,851,176,2743
"Técnicos de nivel medio ytrab.asimilados (003)",869,3,,31,142,123,309,181,80
"Jefes y empleados de oficina (004)",903,,,8,285,84,138,138,250
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",3989,293,5,1028,1829,217,173,255,189
"Agricult.trabaj. calif.agrop. y pesquros (006)",10213,1895,7,5354,2714,64,59,55,65
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1690,68,,431,848,102,109,74,58
"Obreros. construc., conf., papel, fab., instr (008)",2150,41,3,537,1264,88,72,93,52
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",17122,2976,40,7671,5848,216,101,177,93
"Otra (010)",238,,,,28,34,75,28,73
"Ocupación no especificada (011)",1033,153,3,275,371,38,39,52,102
"Hombres (012)",28173,2328,34,11121,10007,671,1136,767,2109
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",79,,,7,20,9,11,5,27
"Profes., científicos e intelectuales (014)",2123,,,,53,48,448,92,1482
"Técnicos de nivel medio ytrab.asimilados (015)",529,,,17,90,90,173,112,47
"Jefes y empleados de oficina (016)",521,,,5,208,47,64,80,117
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1359,20,2,235,761,75,69,110,87
"Agricult.trabaj. calif.agrop. y pesquros (018)",8498,1073,5,4740,2460,58,53,53,56
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1398,29,,349,732,82,93,62,51
"Obreros. construc., conf., papel, fab., instr (020)",2101,37,3,524,1239,86,71,91,50
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",10838,1136,22,5130,4205,123,63,99,60
"Otra (022)",228,,,,27,30,74,27,70
"Ocupación no especificada (023)",499,33,2,114,212,23,17,36,62
"Mujeres (024)",14119,3101,24,4223,3477,397,801,467,1629
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",17,,,2,9,,,,6
"Profes., científicos e intelectuales (026)",1866,,,,73,45,403,84,1261
"Técnicos de nivel medio ytrab.asimilados (027)",340,3,,14,52,33,136,69,33
"Jefes y empleados de oficina (028)",382,,,3,77,37,74,58,133
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2630,273,3,793,1068,142,104,145,102
"Agricult.trabaj. calif.agrop. y pesquros (030)",1715,822,2,614,254,6,6,2,9
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",292,39,,82,116,20,16,12,7
"Obreros. construc., conf., papel, fab., instr (032)",49,4,,13,25,2,1,2,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",6284,1840,18,2541,1643,93,38,78,33
"Otra (034)",10,,,,1,4,1,1,3
"Ocupación no especificada (035)",534,120,1,161,159,15,22,16,40
,,,,,,,,,
"URBANA (036)",21984,1337,28,5428,7753,922,1774,1153,3589
