"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CASMA (000)",860,23,459,212,133,33
"Conviviente (001)",244,1,96,101,38,8
"Separado(a) (002)",33,,10,9,13,1
"Casado(a) (003)",139,,20,47,54,18
"Viudo(a) (004)",13,,1,1,7,4
"Divorciado(a) (005)",2,,,,2,
"Soltero(a) (006)",429,22,332,54,19,2
"Hombres (008)",635,18,319,158,108,32
"Conviviente (009)",188,,66,80,34,8
"Separado(a) (010)",13,,5,2,5,1
"Casado(a) (011)",110,,12,31,49,18
"Viudo(a) (012)",7,,,1,3,3
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",316,18,236,44,16,2
"Mujeres (016)",225,5,140,54,25,1
"Conviviente (017)",56,1,30,21,4,
"Separado(a) (018)",20,,5,7,8,
"Casado(a) (019)",29,,8,16,5,
"Viudo(a) (020)",6,,1,,4,1
"Divorciado(a) (021)",1,,,,1,
"Soltero(a) (022)",113,4,96,10,3,
,,,,,,
"AREA URBANA (024)",650,15,356,160,103,16
"Conviviente (025)",175,1,73,72,26,3
"Separado(a) (026)",28,,9,7,12,
"Casado(a) (027)",111,,19,39,43,10
"Viudo(a) (028)",9,,1,1,5,2
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",326,14,254,41,16,1
"Hombres (032)",451,11,234,110,80,16
"Conviviente (033)",124,,46,53,22,3
"Separado(a) (034)",10,,4,1,5,
"Casado(a) (035)",84,,12,24,38,10
"Viudo(a) (036)",4,,,1,1,2
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",228,11,172,31,13,1
"Mujeres (040)",199,4,122,50,23,
"Conviviente (041)",51,1,27,19,4,
"Separado(a) (042)",18,,5,6,7,
"Casado(a) (043)",27,,7,15,5,
"Viudo(a) (044)",5,,1,,4,
"Soltero(a) (046)",98,3,82,10,3,
,,,,,,
"AREA RURAL (048)",210,8,103,52,30,17
"Conviviente (049)",69,,23,29,12,5
"Separado(a) (050)",5,,1,2,1,1
"Casado(a) (051)",28,,1,8,11,8
"Viudo(a) (052)",4,,,,2,2
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",103,8,78,13,3,1
"Hombres (056)",184,7,85,48,28,16
"Conviviente (057)",64,,20,27,12,5
"Separado(a) (058)",3,,1,1,,1
"Casado(a) (059)",26,,,7,11,8
"Viudo(a) (060)",3,,,,2,1
"Soltero(a) (062)",88,7,64,13,3,1
"Mujeres (064)",26,1,18,4,2,1
"Conviviente (065)",5,,3,2,,
"Separado(a) (066)",2,,,1,1,
"Casado(a) (067)",2,,1,1,,
"Viudo(a) (068)",1,,,,,1
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",15,1,14,,,
