"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MIGUEL (000)",55940,8930,47010
"Casa independiente (001)",54536,8857,45679
"Vivienda en quinta (003)",33,33,
"Vivienda en casa de vecindad (004)",21,21,
"Choza o cabaña (005)",1311,,1311
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",20,1,19
"Otro tipo (008)",1,,1
