"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAÑETE (000)",188293,8171,19858,21122,19640,34438,29063,42228,13773
"Sabe leer y escribir (001)",170809,,16084,20972,19523,34152,28659,39954,11465
"No sabe leer y escribir (002)",17484,8171,3774,150,117,286,404,2274,2308
"Hombres (004)",94316,4206,10112,10749,9794,17086,14274,21095,7000
"Sabe leer y escribir (005)",86932,,8219,10672,9732,16966,14169,20708,6466
"No sabe leer y escribir (006)",7384,4206,1893,77,62,120,105,387,534
"Mujeres (008)",93977,3965,9746,10373,9846,17352,14789,21133,6773
"Sabe leer y escribir (009)",83877,,7865,10300,9791,17186,14490,19246,4999
"No sabe leer y escribir (010)",10100,3965,1881,73,55,166,299,1887,1774
,,,,,,,,,
"URBANA (012)",158125,6904,16799,17912,16644,28963,24370,35317,11216
"Sabe leer y escribir (013)",143899,,13628,17785,16548,28747,24074,33626,9491
"No sabe leer y escribir (014)",14226,6904,3171,127,96,216,296,1691,1725
"Hombres (016)",78545,3526,8571,9086,8317,14213,11797,17386,5649
"Sabe leer y escribir (017)",72455,,6971,9021,8261,14115,11721,17104,5262
"No sabe leer y escribir (018)",6090,3526,1600,65,56,98,76,282,387
"Mujeres (020)",79580,3378,8228,8826,8327,14750,12573,17931,5567
"Sabe leer y escribir (021)",71444,,6657,8764,8287,14632,12353,16522,4229
"No sabe leer y escribir (022)",8136,3378,1571,62,40,118,220,1409,1338
,,,,,,,,,
"RURAL (024)",30168,1267,3059,3210,2996,5475,4693,6911,2557
"Sabe leer y escribir (025)",26910,,2456,3187,2975,5405,4585,6328,1974
"No sabe leer y escribir (026)",3258,1267,603,23,21,70,108,583,583
"Hombres (028)",15771,680,1541,1663,1477,2873,2477,3709,1351
"Sabe leer y escribir (029)",14477,,1248,1651,1471,2851,2448,3604,1204
"No sabe leer y escribir (030)",1294,680,293,12,6,22,29,105,147
"Mujeres (032)",14397,587,1518,1547,1519,2602,2216,3202,1206
"Sabe leer y escribir (033)",12433,,1208,1536,1504,2554,2137,2724,770
"No sabe leer y escribir (034)",1964,587,310,11,15,48,79,478,436
