"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGUYO (000)",19018,16947,1122,346,603
"Hombres (001)",10843,9350,778,246,469
"Mujeres (002)",8175,7597,344,100,134
"De 06 a 14 años (003)",229,222,6,,1
"Hombres (004)",115,111,3,,1
"Mujeres (005)",114,111,3,,
"De 15 a 29 años (006)",4710,4140,361,77,132
"Hombres (007)",2605,2213,248,54,90
"Mujeres (008)",2105,1927,113,23,42
"De 30 a 44 años (009)",5845,4999,431,143,272
"Hombres (010)",3360,2777,286,90,207
"Mujeres (011)",2485,2222,145,53,65
"De 45 a 64 años (012)",5789,5193,285,120,191
"Hombres (013)",3316,2841,213,97,165
"Mujeres (014)",2473,2352,72,23,26
"De 65 y más años (015)",2445,2393,39,6,7
"Hombres (016)",1447,1408,28,5,6
"Mujeres (017)",998,985,11,1,1
,,,,,
"URBANA (018)",6626,5460,491,258,417
"Hombres (019)",3661,2887,306,168,300
"Mujeres (020)",2965,2573,185,90,117
"De 06 a 14 años (021)",126,122,4,,
"Hombres (022)",62,61,1,,
"Mujeres (023)",64,61,3,,
"De 15 a 29 años (024)",1707,1439,131,49,88
"Hombres (025)",899,736,77,30,56
"Mujeres (026)",808,703,54,19,32
"De 30 a 44 años (027)",2423,1882,234,114,193
"Hombres (028)",1334,997,139,66,132
"Mujeres (029)",1089,885,95,48,61
"De 45 a 64 años (030)",1843,1516,105,91,131
"Hombres (031)",1074,819,79,69,107
"Mujeres (032)",769,697,26,22,24
"De 65 y más años (033)",527,501,17,4,5
"Hombres (034)",292,274,10,3,5
"Mujeres (035)",235,227,7,1,
,,,,,
"RURAL (036)",12392,11487,631,88,186
"Hombres (037)",7182,6463,472,78,169
"Mujeres (038)",5210,5024,159,10,17
"De 06 a 14 años (039)",103,100,2,,1
"Hombres (040)",53,50,2,,1
"Mujeres (041)",50,50,,,
"De 15 a 29 años (042)",3003,2701,230,28,44
"Hombres (043)",1706,1477,171,24,34
"Mujeres (044)",1297,1224,59,4,10
"De 30 a 44 años (045)",3422,3117,197,29,79
"Hombres (046)",2026,1780,147,24,75
"Mujeres (047)",1396,1337,50,5,4
"De 45 a 64 años (048)",3946,3677,180,29,60
"Hombres (049)",2242,2022,134,28,58
"Mujeres (050)",1704,1655,46,1,2
"De 65 y más años (051)",1918,1892,22,2,2
"Hombres (052)",1155,1134,18,2,1
"Mujeres (053)",763,758,4,,1
