"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia FERREÑAFE (000)",35295,33424,10179,4310,4223,3522,4553,2895,1842,1900,1871,99324
"De 12 a 14 años (001)",3543,3509,3496,12,1,,,,,,34,14
"De 15 a 19 años (002)",4638,4507,3860,557,78,7,5,,,,131,754
"De 20 a 24 años (003)",3968,3451,1300,1182,666,211,80,12,,,517,3563
"De 25 a 29 años (004)",3565,3142,390,898,904,505,363,75,7,,423,6331
"De 30 a 34 años (005)",3355,3110,256,539,800,660,599,195,41,20,245,8548
"De 35 a 39 años (006)",3264,3108,190,339,632,652,770,326,144,55,156,10837
"De 40 a 44 años (007)",2826,2708,142,221,430,488,689,395,216,127,118,11333
"De 45 a 49 años (008)",2388,2315,141,160,264,373,582,365,240,190,73,10898
"De 50 y más años (009)",7748,7574,404,402,448,626,1465,1527,1194,1508,174,47046
"Conviviente (010)",9696,9412,626,2002,1840,1326,1667,927,549,475,284,32947
"De 12 a 14 años (011)",58,24,15,9,,,,,,,34,9
"De 15 a 19 años (012)",764,658,221,373,57,3,4,,,,106,512
"De 20 a 24 años (013)",1649,1583,162,724,473,156,63,5,,,66,2437
"De 25 a 29 años (014)",1687,1654,59,449,515,316,258,54,3,,33,3913
"De 30 a 34 años (015)",1408,1390,32,190,352,304,337,134,27,14,18,4528
"De 35 a 39 años (016)",1273,1265,26,105,222,246,356,187,89,34,8,5165
"De 40 a 44 años (017)",918,912,35,54,100,131,241,172,112,67,6,4496
"De 45 a 49 años (018)",636,631,19,29,59,82,153,119,96,74,5,3482
"De 50 y más años (019)",1303,1295,57,69,62,88,255,256,222,286,8,8405
"Separado(a) (020)",1740,1708,21,595,364,243,243,138,72,32,32,4961
"De 15 a 19 años (022)",75,71,7,59,5,,,,,,4,69
"De 20 a 24 años (023)",166,158,2,108,39,7,2,,,,8,216
