"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TACNA (000)",71207,66241,325,18988,20167,12126,9988,3405,1029,213,4966,171773
"De 12 a 14 años (001)",79,43,2,31,10,,,,,,36,51
"De 15 a 19 años (002)",1195,1021,14,901,85,14,7,,,,174,1141
"De 20 a 24 años (003)",6615,4939,46,3724,985,145,25,14,,,1676,6323
"De 25 a 29 años (004)",10006,8469,57,4672,2839,721,169,9,2,,1537,13287
"De 30 a 34 años (005)",10281,9628,33,3454,3982,1580,538,36,3,2,653,18697
"De 35 a 39 años (006)",9966,9612,32,2188,4009,2139,1092,141,9,2,354,22261
"De 40 a 44 años (007)",8385,8185,28,1381,2897,2126,1446,266,36,5,200,21802
"De 45 a 49 años (008)",6643,6550,26,901,2004,1671,1463,394,79,12,93,19531
"De 50 y más años (009)",18037,17794,87,1736,3356,3730,5248,2545,900,192,243,68680
"Conviviente (010)",22573,21955,130,8178,7132,3371,2301,631,171,41,618,48401
"De 12 a 14 años (011)",48,20,2,17,1,,,,,,28,19
"De 15 a 19 años (012)",791,654,8,577,61,5,3,,,,137,726
"De 20 a 24 años (013)",3435,3217,30,2394,676,94,14,9,,,218,4145
"De 25 a 29 años (014)",4740,4618,30,2401,1648,427,105,6,1,,122,7462
"De 30 a 34 años (015)",4511,4452,15,1413,1928,799,269,23,3,2,59,9000
"De 35 a 39 años (016)",3544,3524,14,676,1446,810,502,71,3,2,20,8643
"De 40 a 44 años (017)",2238,2223,11,317,728,585,461,103,16,2,15,6322
"De 45 a 49 años (018)",1313,1310,7,179,343,298,347,110,20,6,3,4203
"De 50 y más años (019)",1953,1937,13,204,301,353,600,309,128,29,16,7881
"Separado(a) (020)",6482,6391,20,1944,1909,1151,983,272,97,15,91,16184
