"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAMANGA (000)",83996,81070,28439,12114,10657,7697,9942,6060,3596,2565,2926,198695
"De 12 a 14 años (001)",8415,8359,8319,31,9,,,,,,56,49
"De 15 a 19 años (002)",12219,12095,10661,1242,160,29,3,,,,124,1661
"De 20 a 24 años (003)",11310,10232,5140,3276,1411,324,73,8,,,1078,7431
"De 25 a 29 años (004)",9557,8761,1941,2861,2241,1109,554,45,10,,796,13384
"De 30 a 34 años (005)",8358,8053,827,1868,2262,1446,1317,293,33,7,305,18642
"De 35 a 39 años (006)",7125,6987,388,1013,1631,1465,1709,580,159,42,138,21618
"De 40 a 44 años (007)",6100,6005,253,557,1047,1108,1610,899,379,152,95,23724
"De 45 a 49 años (008)",4700,4642,154,363,630,763,1192,818,477,245,58,21225
"De 50 y más años (009)",16212,15936,756,903,1266,1453,3484,3417,2538,2119,276,90961
"Conviviente (010)",16759,16396,1911,5331,4136,2233,1817,650,224,94,363,35295
"De 12 a 14 años (011)",113,71,47,19,5,,,,,,42,29
"De 15 a 19 años (012)",1493,1401,600,671,111,18,1,,,,92,951
"De 20 a 24 años (013)",3832,3707,638,1935,900,195,33,6,,,125,4498
"De 25 a 29 años (014)",3927,3863,342,1468,1240,567,230,14,2,,64,6728
"De 30 a 34 años (015)",2997,2981,131,730,962,602,471,75,8,2,16,7039
"De 35 a 39 años (016)",1867,1861,55,280,529,431,425,118,20,3,6,5422
"De 40 a 44 años (017)",1116,1111,32,120,201,230,288,181,44,15,5,4179
"De 45 a 49 años (018)",552,548,16,46,89,100,161,91,35,10,4,2229
"De 50 y más años (019)",862,853,50,62,99,90,208,165,115,64,9,4220
"Separado(a) (020)",4048,4020,78,1329,924,609,635,278,114,53,28,11098
"De 12 a 14 años (021)",9,8,5,3,,,,,,,1,3
