"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAMBOPATA (000)",34005,24197,3489,2546,3773
"Agric., ganadería, caza y silvicultura (001)",5411,4881,341,135,54
"Pesca (002)",119,115,2,2,
"Explotación de minas y canteras (003)",2021,1259,532,178,52
"Industrias manufactureras (004)",2371,1765,285,207,114
"Suministro de electricidad, gas y agua (005)",86,14,7,33,32
"Construcción (006)",2636,1378,385,341,532
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6111,5541,419,123,28
"Venta, mant.y rep. veh.autom y motoc. (008)",858,712,121,15,10
"Comercio al por mayor (009)",291,204,35,34,18
"Comercio al por menor (010)",4962,4625,263,74,
"Hoteles y restaurantes (011)",2601,2153,287,116,45
"Trans., almac. y comunicaciones (012)",3890,3046,271,319,254
"Intermediación financiera (013)",132,21,25,73,13
"Activid.inmobil., empres. y alquileres (014)",1189,660,154,208,167
"Admin.pub. y defensa; p. segur soc.afil (015)",1314,,,,1314
"Enseñanza (016)",1581,285,325,540,431
"Servicios sociales y de salud (017)",730,182,42,25,481
"Otras activ. serv.comun.soc y personales (018)",1274,986,170,70,48
"Hogares privados con servicio doméstico (019)",681,681,,,
"Actividad economica no especificada (021)",1858,1230,244,176,208
"Hombres (022)",22485,15669,2470,1776,2570
"Agric., ganadería, caza y silvicultura (023)",4537,4110,288,106,33
"Pesca (024)",106,102,2,2,
"Explotación de minas y canteras (025)",1808,1132,464,161,51
"Industrias manufactureras (026)",1934,1470,241,158,65
"Suministro de electricidad, gas y agua (027)",75,12,7,28,28
"Construcción (028)",2523,1342,361,324,496
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2761,2402,264,77,18
"Venta, mant.y rep. veh.autom y motoc. (030)",785,649,111,15,10
"Comercio al por mayor (031)",159,106,24,21,8
"Comercio al por menor (032)",1817,1647,129,41,
"Hoteles y restaurantes (033)",525,353,72,63,37
"Trans., almac. y comunicaciones (034)",3620,2892,238,265,225
"Intermediación financiera (035)",80,12,13,48,7
"Activid.inmobil., empres. y alquileres (036)",824,449,107,151,117
"Admin.pub. y defensa; p. segur soc.afil (037)",947,,,,947
"Enseñanza (038)",719,114,147,233,225
"Servicios sociales y de salud (039)",317,97,24,11,185
"Otras activ. serv.comun.soc y personales (040)",703,513,114,42,34
