"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ISLAY (000)",21271,13331,3216,2769,1955
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,2,12,15,14
"Profes., científicos e intelectuales (002)",1213,308,258,465,182
"Técnicos de nivel medio y trab. asimilados (003)",936,451,122,153,210
"Jefes y empleados de oficina (004)",899,291,108,150,350
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2968,2561,189,123,95
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2154,1739,305,86,24
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1524,995,157,121,251
"Obreros construc.,conf.,papel, fab., instr. (008)",2062,1481,235,165,181
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8589,4949,1788,1468,384
"Otra (010)",248,,,,248
"Ocupación no especificada (011)",635,554,42,23,16
"Hombres (012)",13627,8403,1993,1737,1494
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",26,1,7,8,10
"Profes., científicos e intelectuales (014)",527,171,80,181,95
"Técnicos de nivel medio y trab. asimilados (015)",611,300,83,116,112
"Jefes y empleados de oficina (016)",451,110,49,94,198
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1103,812,107,98,86
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1861,1514,241,82,24
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1324,829,142,110,243
"Obreros construc.,conf.,papel, fab., instr. (020)",2011,1443,233,162,173
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5024,2818,1031,870,305
"Otra (022)",237,,,,237
"Ocupación no especificada (023)",452,405,20,16,11
"Mujeres (024)",7644,4928,1223,1032,461
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,1,5,7,4
"Profes., científicos e intelectuales (026)",686,137,178,284,87
"Técnicos de nivel medio y trab. asimilados (027)",325,151,39,37,98
"Jefes y empleados de oficina (028)",448,181,59,56,152
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1865,1749,82,25,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",293,225,64,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",200,166,15,11,8
"Obreros construc.,conf.,papel, fab., instr. (032)",51,38,2,3,8
