"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",351,4,170,100,64,13
"Sin nivel (001)",102,1,22,40,29,10
"Primaria (003)",111,2,49,31,26,3
"Secundaria (004)",100,1,75,18,6,
"Superior no univ. incompleta (005)",8,,5,2,1,
"Superior no univ. completa (006)",22,,13,7,2,
"Superior univ. incompleta (007)",5,,4,1,,
"Superior univ. completa (008)",3,,2,1,,
"Hombres (010)",278,4,122,87,55,10
"Sin nivel (011)",76,1,14,31,23,7
"Primaria (013)",91,2,33,29,24,3
"Secundaria (014)",85,1,61,18,5,
"Superior no univ. incompleta (015)",5,,2,2,1,
"Superior no univ. completa (016)",14,,7,5,2,
"Superior univ. incompleta (017)",5,,4,1,,
"Superior univ. completa (018)",2,,1,1,,
"Mujeres (020)",73,,48,13,9,3
"Sin nivel (021)",26,,8,9,6,3
"Primaria (023)",20,,16,2,2,
"Secundaria (024)",15,,14,,1,
"Superior no univ. incompleta (025)",3,,3,,,
"Superior no univ. completa (026)",8,,6,2,,
"Superior univ. completa (028)",1,,1,,,
,,,,,,
"Area Urbana (030)",17,,9,5,2,1
"Sin nivel (031)",2,,,1,,1
"Primaria (033)",1,,1,,,
"Secundaria (034)",4,,3,1,,
"Superior no univ. incompleta (035)",1,,,,1,
"Superior no univ. completa (036)",8,,5,2,1,
"Superior univ. incompleta (037)",1,,,1,,
"Hombres (040)",11,,4,4,2,1
"Sin nivel (041)",1,,,,,1
"Secundaria (044)",3,,2,1,,
"Superior no univ. incompleta (045)",1,,,,1,
"Superior no univ. completa (046)",5,,2,2,1,
"Superior univ. incompleta (047)",1,,,1,,
"Mujeres (050)",6,,5,1,,
"Sin nivel (051)",1,,,1,,
"Primaria (053)",1,,1,,,
"Secundaria (054)",1,,1,,,
"Superior no univ. completa (056)",3,,3,,,
,,,,,,
"Area Rural (060)",334,4,161,95,62,12
"Sin nivel (061)",100,1,22,39,29,9
"Primaria (063)",110,2,48,31,26,3
"Secundaria (064)",96,1,72,17,6,
"Superior no univ. incompleta (065)",7,,5,2,,
"Superior no univ. completa (066)",14,,8,5,1,
"Superior univ. incompleta (067)",4,,4,,,
"Superior univ. completa (068)",3,,2,1,,
"Hombres (070)",267,4,118,83,53,9
"Sin nivel (071)",75,1,14,31,23,6
"Primaria (073)",91,2,33,29,24,3
"Secundaria (074)",82,1,59,17,5,
"Superior no univ. incompleta (075)",4,,2,2,,
"Superior no univ. completa (076)",9,,5,3,1,
"Superior univ. incompleta (077)",4,,4,,,
"Superior univ. completa (078)",2,,1,1,,
"Mujeres (080)",67,,43,12,9,3
"Sin nivel (081)",25,,8,8,6,3
"Primaria (083)",19,,15,2,2,
"Secundaria (084)",14,,13,,1,
"Superior no univ. incompleta (085)",3,,3,,,
"Superior no univ. completa (086)",5,,3,2,,
"Superior univ. completa (088)",1,,1,,,
