"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAL (000)",48717,37909,10808
"Casa independiente (001)",44411,34130,10281
"Departamento en edificio (002)",875,875,
"Vivienda en quinta (003)",925,925,
"Vivienda en casa de vecindad (004)",960,960,
"Choza o cabaña (005)",514,,514
"Vivienda improvisada (006)",955,955,
"Local no dest.para hab. humana (007)",70,60,10
"Otro tipo (008)",7,4,3
